Date,Region_Name,Average_Price
2012Q3,United Kingdom,157182.66666666666
2012Q4,United Kingdom,155727.66666666666
2013Q1,United Kingdom,154781.66666666666
2013Q2,United Kingdom,157896.66666666666
2013Q3,United Kingdom,161719.0
2013Q4,United Kingdom,162648.66666666666
2014Q1,United Kingdom,164780.0
2014Q2,United Kingdom,170750.66666666666
2014Q3,United Kingdom,176183.66666666666
2014Q4,United Kingdom,176476.33333333334
2015Q1,United Kingdom,175953.33333333334
2015Q2,United Kingdom,179733.33333333334
2015Q3,United Kingdom,185617.66666666666
2015Q4,United Kingdom,187860.33333333334
2016Q1,United Kingdom,189972.66666666666
2016Q2,United Kingdom,194123.0
2016Q3,United Kingdom,198079.33333333334
2016Q4,United Kingdom,197966.66666666666
2017Q1,United Kingdom,198413.66666666666
2017Q2,United Kingdom,202790.0
2017Q3,United Kingdom,207372.0
2017Q4,United Kingdom,207225.66666666666
2018Q1,United Kingdom,206787.33333333334
2018Q2,United Kingdom,209137.0
2018Q3,United Kingdom,213263.66666666666
2018Q4,United Kingdom,212228.0
2019Q1,United Kingdom,209768.66666666666
2019Q2,United Kingdom,211212.66666666666
2019Q3,United Kingdom,214793.33333333334
2019Q4,United Kingdom,213960.33333333334
2020Q1,United Kingdom,213476.66666666666
2020Q2,United Kingdom,213875.33333333334
2020Q3,United Kingdom,220234.66666666666
2020Q4,United Kingdom,226499.33333333334
2021Q1,United Kingdom,229982.33333333334
2021Q2,United Kingdom,234096.0
2021Q3,United Kingdom,238386.66666666666
2021Q4,United Kingdom,242785.0
2022Q1,United Kingdom,248524.0
2022Q2,United Kingdom,255108.33333333334
2022Q3,United Kingdom,264585.0
2022Q4,United Kingdom,264727.3333333333
2023Q1,United Kingdom,258538.0
2023Q2,United Kingdom,257361.33333333334
2023Q3,United Kingdom,261700.66666666666
2023Q4,United Kingdom,258224.66666666666
2024Q1,United Kingdom,255229.0
2024Q2,United Kingdom,258209.33333333334
2024Q3,United Kingdom,264104.6666666667
2024Q4,United Kingdom,264586.0
2025Q1,United Kingdom,265908.6666666667
2025Q2,United Kingdom,263571.6666666667
2025Q3,United Kingdom,270241.3333333333
2025Q4,United Kingdom,270467.6666666667
2026Q1,United Kingdom,268387.3333333333
