rmse,mae,mape,r2,seed,epochs,best_epoch,Spec
0.28689776115926957,0.2052547634742631,2.025640090313847,-0.026835351602233937,42,31,1,Spec1_NoDummy
0.2860839962488046,0.2039890301307259,2.01491477660099,-0.021018523257430477,1,32,2,Spec1_NoDummy
0.28292100608564097,0.20471970582590562,2.0184430428043845,0.0014337551787018121,7,31,1,Spec1_NoDummy
0.28275988615191766,0.2010436368114057,1.9857121894260044,0.002570773014916816,123,31,1,Spec1_NoDummy
0.2790665674760502,0.1940910830245337,1.9176413061114406,0.02845680359509295,2024,33,3,Spec1_NoDummy
0.2790427669952606,0.19936577105927691,1.967767144075893,0.028622514660726073,31,31,1,Spec1_NoDummy
0.2808812092145912,0.19922539471884756,1.965790542681094,0.015780725267876994,99,31,1,Spec1_NoDummy
0.2911916753388685,0.2021771363703371,1.9992574270223182,-0.057802048790484006,256,31,1,Spec1_NoDummy
0.28446055813661353,0.2062353417640837,2.0338723295410963,-0.009463474149000284,777,31,1,Spec1_NoDummy
0.28688639787798664,0.20057659800385555,1.981963607713238,-0.02675401260669541,8,31,1,Spec1_NoDummy
0.2849449429571373,0.20238279794659386,1.9979450775538539,-0.012904268188110635,42,32,2,Spec3_SeasonalDummy
0.28498386056396063,0.2030757930650467,2.005346117461973,-0.013180970779262058,1,33,3,Spec3_SeasonalDummy
0.2837392576719441,0.20760161910259808,2.044952941069061,-0.004350615406928604,7,31,1,Spec3_SeasonalDummy
0.28096328328765996,0.20006064985942726,1.9755517984629698,0.015205459398188181,123,31,1,Spec3_SeasonalDummy
0.27634099516677113,0.19038530847619803,1.8818606038364292,0.04734176018828151,2024,36,6,Spec3_SeasonalDummy
0.27923968882028266,0.19823065053141525,1.9569562648075116,0.027251019353518258,31,31,1,Spec3_SeasonalDummy
0.28015946593325447,0.20095854611615135,1.9816165925120592,0.02083226289112794,99,31,1,Spec3_SeasonalDummy
0.2885654353491325,0.20128081741112774,1.9899010430476964,-0.038807587204123584,256,31,1,Spec3_SeasonalDummy
0.2842102531603269,0.2068455605914264,2.0397588650977503,-0.007687744218676684,777,31,1,Spec3_SeasonalDummy
0.2852723805543414,0.1977539113991716,1.954735878587327,-0.015233514656264324,8,33,3,Spec3_SeasonalDummy
