Date,SUM,England,Wales,Scotland
2007Q1,49870.0,43040.0,1950.0,4880.0
2007Q2,49990.0,41470.0,2740.0,5780.0
2007Q3,47620.0,40440.0,2400.0,4780.0
2007Q4,43430.0,34950.0,2750.0,5730.0
2008Q1,35410.0,29290.0,1850.0,4270.0
2008Q2,33300.0,25400.0,1840.0,6060.0
2008Q3,19810.0,15670.0,1200.0,2940.0
2008Q4,15320.0,12010.0,620.0,2690.0
2009Q1,15360.0,12490.0,800.0,2070.0
2009Q2,18770.0,15360.0,1010.0,2400.0
2009Q3,23810.0,20160.0,1100.0,2550.0
2009Q4,20380.0,16990.0,1000.0,2390.0
2010Q1,24820.0,21260.0,1280.0,2280.0
2010Q2,28780.0,24930.0,1380.0,2470.0
2010Q3,26300.0,22400.0,1220.0,2680.0
2010Q4,18990.0,16270.0,1080.0,1640.0
2011Q1,24520.0,21120.0,1330.0,2070.0
2011Q2,25960.0,23390.0,,2570.0
2011Q3,26270.0,23660.0,,2610.0
2011Q4,22350.0,19620.0,,2730.0
2012Q1,23310.0,20630.0,,2680.0
2012Q2,22800.0,19820.0,,2980.0
2012Q3,24610.0,22230.0,,2380.0
2012Q4,20220.0,17580.0,,2640.0
2013Q1,25160.0,22350.0,,2810.0
2013Q2,29360.0,26420.0,,2940.0
2013Q3,31100.0,28370.0,,2730.0
2013Q4,24200.0,21680.0,,2520.0
2014Q1,34610.0,30870.0,,3740.0
2014Q2,33320.0,30170.0,,3150.0
2014Q3,32240.0,29220.0,,3020.0
2014Q4,24830.0,21530.0,,3300.0
2015Q1,36990.0,33630.0,,3360.0
2015Q2,34900.0,30450.0,,4450.0
2015Q3,34460.0,30810.0,,3650.0
2015Q4,28550.0,25700.0,,2850.0
2016Q1,33270.0,30500.0,,2770.0
2016Q2,37060.0,33490.0,,3570.0
2016Q3,39570.0,35870.0,,3700.0
2016Q4,31540.0,28300.0,,3240.0
2017Q1,37840.0,34940.0,,2900.0
2017Q2,40110.0,35730.0,,4380.0
2017Q3,37180.0,34020.0,,3160.0
2017Q4,33820.0,30610.0,,3210.0
2018Q1,37930.0,34990.0,,2940.0
2018Q2,38710.0,34720.0,,3990.0
2018Q3,43240.0,39380.0,,3860.0
2018Q4,33970.0,29100.0,,4870.0
2019Q1,36180.0,31900.0,,4280.0
2019Q2,36470.0,31830.0,,4640.0
2019Q3,40100.0,35350.0,,4750.0
2019Q4,28460.0,23980.0,,4480.0
2020Q1,31650.0,28050.0,,3600.0
2020Q2,14720.0,13560.0,,1160.0
2020Q3,35130.0,31460.0,,3670.0
2020Q4,33580.0,29380.0,,4200.0
2021Q1,42030.0,37160.0,,4870.0
2021Q2,42540.0,37720.0,,4820.0
2021Q3,41620.0,38530.0,,3090.0
2021Q4,32310.0,28770.0,,3540.0
2022Q1,39550.0,35670.0,,3880.0
2022Q2,51680.0,46910.0,,4770.0
2022Q3,39570.0,35310.0,,4260.0
2022Q4,28520.0,24880.0,,3640.0
2023Q1,31840.0,28840.0,,3000.0
2023Q2,57510.0,53690.0,,3820.0
2023Q3,20930.0,17530.0,,3400.0
2023Q4,15750.0,12800.0,,2950.0
2024Q1,20070.0,17100.0,,2970.0
2024Q2,21510.0,18690.0,,2820.0
2024Q3,24980.0,21440.0,,3540.0
2024Q4,21750.0,18780.0,,2970.0
2025Q1,25220.0,21960.0,,3260.0
2025Q2,26580.0,23360.0,,3220.0
2025Q3,25400.0,22880.0,,2520.0
2025Q4,28310.0,25380.0,,2930.0
