period,ensemble_log
2026Q1,10.14580245026974
2026Q2,10.2471383615694
2026Q3,10.354566501613418
2026Q4,10.433461877216802
2027Q1,10.479298294356036
2027Q2,10.543578192965418
2027Q3,10.581534918531512
2027Q4,10.596389041033493
2028Q1,10.594660392243991
2028Q2,10.592461029046147
2028Q3,10.589892880315361
2028Q4,10.590759129564166
2029Q1,10.589262217617394
2029Q2,10.591299493172444
2029Q3,10.59317822072199
2029Q4,10.594925233740195
2030Q1,10.596560564394013
2030Q2,10.59810148375746
2030Q3,10.599462458806736
2030Q4,10.599976091901398
2031Q1,10.60015106000227
