period,lrprc,lvol,r3,lrcc
2025Q4,7.907179121906045,12.012779116184849,3.9688,0.6856115536269755
2026Q1,7.91383762680396,12.019754729921274,3.6668343649262263,0.6874170991060712
2026Q2,7.912076475960115,12.026422406578746,3.471103211845558,0.6863472440626855
2026Q3,7.914461095493096,12.033157369772159,3.3408031000735257,0.6898534600918621
2026Q4,7.917995184463105,12.04011714972833,3.309176744246105,0.6949407546614251
2027Q1,7.923776946819501,12.047089886436567,3.335515821181063,0.7007225170178216
2027Q2,7.920737352666699,12.054209052568057,3.381640415437617,0.6942705697517043
2027Q3,7.9238244539253655,12.061628567148594,3.432443008081259,0.6977597126025742
2027Q4,7.927835564914389,12.069074065987746,3.481586964685954,0.7036012916508451
2028Q1,7.93354099633775,12.07624948135835,3.527644904825992,0.7098837858429471
2028Q2,7.9278916566779625,12.082964269929462,3.5705092703169377,0.7019693127812191
2028Q3,7.9303600802740615,12.089253447822198,3.6108313478390226,0.7048274532626276
2028Q4,7.933565940335433,12.095184804361402,3.6493006370092673,0.7100535591294287
2029Q1,7.938698496520118,12.100864642450976,3.686591298293019,0.7100535591294287
2029Q2,7.933752967481891,12.106327005021932,3.7232584164635263,0.7100535591294287
2029Q3,7.935827384453376,12.11165366705923,3.759770319870044,0.7100535591294287
2029Q4,7.938634865927783,12.116881067056433,3.796590612087406,0.7100535591294296
2030Q1,7.943375399854187,12.122032547616481,3.834146609126513,0.7100535591294287
2030Q2,7.93802153132069,12.127125439937119,3.8725885074060415,0.7100535591294296
2030Q3,7.939698260242012,12.131685031135763,3.911867188310549,0.7100535591294296
2030Q4,7.942103802419987,12.13278732031048,3.951922888399576,0.7100535591294287
2031Q1,7.946446978954575,12.134841548162925,3.992755607673124,0.7100535591294296
