DateChanged,rate
1975Q1,10.591549295774648
1975Q2,9.961538461538462
1975Q3,10.706521739130435
1975Q4,11.730978260869565
1976Q1,9.868131868131869
1976Q2,10.505494505494505
1976Q3,11.793478260869565
1976Q4,14.720108695652174
1977Q1,12.325
1977Q2,8.436813186813186
1977Q3,7.282608695652174
1977Q4,5.875
1978Q1,6.544444444444444
1978Q2,8.502747252747254
1978Q3,10.0
1978Q4,11.440217391304348
1979Q1,13.022222222222222
1979Q2,12.43956043956044
1979Q3,14.0
1979Q4,15.532608695652174
1980Q1,17.0
1980Q2,17.0
1980Q3,16.02173913043478
1980Q4,15.195652173913043
1981Q1,13.533333333333333
1981Q2,12.0
1981Q3,12.505326086956522
1981Q4,14.599021739130436
1982Q1,13.795
1982Q2,13.021978021978022
1982Q3,11.364239130434783
1982Q4,9.701413043478261
1983Q1,10.794666666666666
1983Q2,10.032527472527473
1983Q3,9.558695652173913
1983Q4,9.070869565217393
1984Q1,8.941868131868132
1984Q2,8.841758241758242
1984Q3,10.892934782608695
1984Q4,9.967391304347826
1985Q1,12.847333333333333
1985Q2,12.478901098901101
1985Q3,11.570217391304348
1985Q4,11.38
1986Q1,12.08
1986Q2,10.314065934065935
1986Q3,9.88
1986Q4,10.727826086956522
1987Q1,10.674444444444445
1987Q2,9.231648351648353
1987Q3,9.488695652173913
1987Q4,9.026739130434782
1988Q1,8.627252747252747
1988Q2,7.978901098901099
1988Q3,10.901739130434782
1988Q4,12.28217391304348
1989Q1,12.88
1989Q2,13.233736263736263
1989Q3,13.759565217391305
1989Q4,14.818586956521742
1990Q1,14.88
1990Q2,14.880000000000003
1990Q3,14.88
1990Q4,13.95608695652174
1991Q1,13.38
1991Q2,11.731648351648353
1991Q3,10.79304347826087
1991Q4,10.38
1992Q1,10.38
1992Q2,10.066813186813187
1992Q3,9.78217391304348
1992Q4,7.510434782608696
1993Q1,6.1577777777777785
1993Q2,5.880000000000001
1993Q3,5.880000000000001
1993Q4,5.66804347826087
1994Q1,5.235555555555555
1994Q2,5.13
1994Q3,5.233260869565217
1994Q4,5.7658695652173915
1995Q1,6.452222222222223
1995Q2,6.630000000000001
1995Q3,6.630000000000001
1995Q4,6.5783695652173915
1996Q1,6.126593406593407
1996Q2,5.871318681318682
1996Q3,5.69
1996Q4,5.8611956521739135
1997Q1,5.94
1997Q2,6.19945054945055
1997Q3,6.875
1997Q4,7.1521739130434785
1998Q1,7.25
1998Q2,7.324175824175824
1998Q3,7.5
1998Q4,6.8396739130434785
1999Q1,5.705555555555556
1999Q2,5.211538461538462
1999Q3,5.0625
1999Q4,5.407608695652174
2000Q1,5.857142857142857
2000Q2,6.0
2000Q3,6.0
2000Q4,6.0
2001Q1,5.855555555555555
2001Q2,5.368131868131868
2001Q3,5.051630434782608
2001Q4,4.2146739130434785
2002Q1,4.0
2002Q2,4.0
2002Q3,4.0
2002Q4,4.0
2003Q1,3.85
2003Q2,3.75
2003Q3,3.5244565217391304
2003Q4,3.652173913043478
2004Q1,3.9038461538461537
2004Q2,4.211538461538462
2004Q3,4.654891304347826
2004Q4,4.75
2005Q1,4.75
2005Q2,4.75
2005Q3,4.592391304347826
2005Q4,4.5
2006Q1,4.5
2006Q2,4.5
2006Q3,4.6603260869565215
2006Q4,4.894021739130435
2007Q1,5.222222222222222
2007Q2,5.392857142857143
2007Q3,5.739130434782608
2007Q4,5.679347826086956
2008Q1,5.351648351648351
2008Q2,5.024725274725275
2008Q3,5.0
2008Q4,3.3206521739130435
2009Q1,1.0833333333333333
2009Q2,0.5
2009Q3,0.5
2009Q4,0.5
2010Q1,0.5
2010Q2,0.5
2010Q3,0.5
2010Q4,0.5
2011Q1,0.5
2011Q2,0.5
2011Q3,0.5
2011Q4,0.5
2012Q1,0.5
2012Q2,0.5
2012Q3,0.5
2012Q4,0.5
2013Q1,0.5
2013Q2,0.5
2013Q3,0.5
2013Q4,0.5
2014Q1,0.5
2014Q2,0.5
2014Q3,0.5
2014Q4,0.5
2015Q1,0.5
2015Q2,0.5
2015Q3,0.5
2015Q4,0.5
2016Q1,0.5
2016Q2,0.5
2016Q3,0.3423913043478261
2016Q4,0.25
2017Q1,0.25
2017Q2,0.25
2017Q3,0.25
2017Q4,0.41304347826086957
2018Q1,0.5
2018Q2,0.5
2018Q3,0.6630434782608695
2018Q4,0.75
2019Q1,0.75
2019Q2,0.75
2019Q3,0.75
2019Q4,0.75
2020Q1,0.6131868131868131
2020Q2,0.09999999999999999
2020Q3,0.1
2020Q4,0.1
2021Q1,0.1
2021Q2,0.09999999999999999
2021Q3,0.1
2021Q4,0.12608695652173912
2022Q1,0.45
2022Q2,0.9478021978021978
2022Q3,1.6141304347826086
2022Q4,2.823369565217391
2023Q1,3.8472222222222223
2023Q2,4.43956043956044
2023Q3,5.1603260869565215
2023Q4,5.25
2024Q1,5.25
2024Q2,5.25
2024Q3,5.084239130434782
2024Q4,4.850543478260869
2025Q1,4.6
2025Q2,4.351648351648351
2025Q3,4.100543478260869
2025Q4,3.9968354430379747
