period,lhstarts
2026Q1,9.980533098687198
2026Q2,10.061493181298644
2026Q3,9.946028291149496
2026Q4,9.806517809359786
2027Q1,9.94638707281214
2027Q2,10.00376116495243
2027Q3,9.931662399544448
2027Q4,9.75249051873397
2028Q1,9.928339915346456
2028Q2,9.987005853624547
2028Q3,9.92778649611925
2028Q4,9.747646833461213
2029Q1,9.926198639213808
2029Q2,10.0015643469644
2029Q3,9.935116626747755
2029Q4,9.756304326145612
2030Q1,9.930594509188877
2030Q2,10.017273030949505
2030Q3,9.95524416383056
2030Q4,9.772383870753629
2031Q1,9.942160834789219
