period,lhstarts
2026Q1,9.895152374334382
2026Q2,9.938134506862976
2026Q3,9.914529467649903
2026Q4,9.943688080190697
2027Q1,9.921072646476034
2027Q2,9.8941184823525
2027Q3,9.896397620193987
2027Q4,9.90543126349352
2028Q1,9.91818149624749
2028Q2,9.886532530995467
2028Q3,9.895482807263843
2028Q4,9.903483107239285
2029Q1,9.91899798422489
2029Q2,9.903499075180388
2029Q3,9.903998738008383
2029Q4,9.912748133016446
2030Q1,9.923759092085419
2030Q2,9.919442065340295
2030Q3,9.924159837585679
2030Q4,9.928710363566676
2031Q1,9.93512453823994
