period,lhstarts
2026Q1,9.980533098687198
2026Q2,10.057980102244407
2026Q3,9.940765532828284
2026Q4,9.800485521415672
2027Q1,9.940310686431589
2027Q2,9.997519294352355
2027Q3,9.924948665958773
2027Q4,9.745607270507174
2028Q1,9.92158759786481
2028Q2,9.98062139421491
2028Q3,9.921205378127198
2028Q4,9.741085182238614
2029Q1,9.91982024032464
2029Q2,9.995618258743711
2029Q3,9.929076409472595
2029Q4,9.750337495031598
2030Q1,9.924821551621449
2030Q2,10.011921968821419
2030Q3,9.949784763872577
2030Q4,9.766976712463332
2031Q1,9.936917317128419
