,starts,hprice,cc,vol,hstock,rate,p_def,cc_def
1975Q1,24364.8,8264.0,10.3,193500.0,11931415.685886651,10.591549295774648,11.87451961282422,9.562
1975Q2,35193.6,8501.0,11.2,226500.0,11972733.854218172,9.961538461538462,12.519338651742832,10.1961
1975Q3,35024.4,8702.0,11.7,236250.0,12013853.37750964,10.706521739130435,13.021627270730296,10.6378
1975Q4,31640.4,8812.0,11.5,224250.0,12051000.0,11.730978260869565,13.68568736825696,11.1069
1976Q1,31471.2,8958.0,11.4,201750.0,12071468.787576731,9.868131868131869,14.231100833428014,11.4751
1976Q2,39339.0,9178.0,12.4,222750.0,12101048.643937731,10.505494505494504,14.578333615007605,11.7996
1976Q3,36208.8,9379.0,12.8,237000.0,12126842.671306483,11.793478260869565,14.9752191647189,12.0847
1976Q4,23772.6,9543.0,12.7,231000.0,12138000.0,14.720108695652174,15.754639646298363,12.5661
1977Q1,22165.2,9617.0,12.3,196500.0,12128652.120196916,12.325,16.480907654191483,13.0227
1977Q2,32232.6,9745.0,13.5,225750.0,12130841.1714618,8.436813186813186,17.03309306512265,13.5281
1977Q3,33078.6,10037.0,14.1,249750.0,12133791.452646531,7.282608695652174,17.341060167035963,13.8158
1977Q4,26564.4,10348.0,14.1,257250.0,12129000.0,5.875,17.63554345050643,14.2008
1978Q1,25880.0,10567.0,13.6,248250.0,12125416.900441688,6.544444444444444,18.216736692382817,14.7273
1978Q2,39760.0,11097.0,15.2,263250.0,12124294.93750446,8.502747252747254,18.577621931781955,15.1427
1978Q3,34490.0,11884.0,16.3,261750.0,12120760.938640788,10.0,18.931013051584834,15.3629
1978Q4,33450.0,12743.0,16.6,250500.0,12120000.0,11.440217391304348,19.563703298343366,15.7758
1979Q1,19060.0,13419.0,16.2,229500.0,12145864.788281431,13.022222222222222,20.147575243149824,16.3258
1979Q2,33300.0,14480.0,18.2,235500.0,12174664.185308758,12.43956043956044,20.570237779758607,16.7321
1979Q3,34260.0,15540.0,20.1,258750.0,12201819.83491722,14.0,21.963069772482346,17.9977
1979Q4,34510.0,16655.0,20.6,255750.0,12242000.0,15.532608695652174,22.92173011576341,18.7637
1980Q1,20470.0,17350.0,20.1,234000.0,12268053.13647303,17.0,23.850766944712493,19.6787
1980Q2,25210.0,18063.0,23.0,246000.0,12292673.01553104,17.0,24.70533324668112,20.5901
1980Q3,20120.0,18630.0,24.5,231000.0,12318062.751656352,16.02173913043478,25.28056532166057,21.3641
1980Q4,17500.0,18813.0,24.5,239250.0,12344000.0,15.195652173913045,26.363946217855293,22.2896
1981Q1,22790.0,18849.0,23.1,216000.0,12391022.952290429,13.533333333333331,27.091104838944336,22.8937
1981Q2,27720.0,19343.0,25.3,246000.0,12435148.589858228,12.0,27.780271441902222,23.2941
1981Q3,27830.0,19599.0,25.5,263250.0,12481577.225126792,12.505326086956522,28.40092919619788,23.6822
1981Q4,21270.0,19270.0,24.5,288000.0,12530000.0,14.599021739130436,29.35408642804141,24.392
1982Q1,27730.0,18740.0,23.2,240000.0,12600927.36743983,13.795,30.102790014684288,24.9475
1982Q2,33340.0,19526.0,25.2,276000.0,12672402.952919437,13.021978021978022,30.48234766972947,25.1739
1982Q3,33340.0,20038.0,25.3,318000.0,12745937.17942134,11.364239130434784,30.834456489891597,25.5742
1982Q4,28050.0,20312.0,24.8,321750.0,12825000.0,9.70141304347826,31.52158040152573,26.1078
1983Q1,34450.0,21025.0,25.6,302250.0,12886517.933547858,10.794666666666666,32.04963905283702,26.5576
1983Q2,41890.0,21573.0,26.2,308250.0,12952313.4443997,10.032527472527471,32.31883894029547,26.548
1983Q3,38600.0,22487.0,26.9,323250.0,13017698.015752727,9.558695652173911,32.62328317295337,26.9602
1983Q4,32900.0,22670.0,27.3,318000.0,13089000.0,9.070869565217391,33.10641347187388,27.3823
1984Q1,31910.0,23036.0,27.8,318000.0,13148309.692055477,8.941868131868132,33.51459501148488,27.4432
1984Q2,37980.0,23767.0,28.3,320250.0,13204813.254939144,8.841758241758242,34.085343438056725,28.2573
1984Q3,34830.0,24681.0,28.8,342000.0,13264492.455846522,10.892934782608696,34.48112740514197,28.4819
