,,,,,,,,,,
,Variable name,,House building,Nominal house price,Nominal construction cost,Transactions,Private housing stock,Interest rate,House price (income) deflator,Construction cost deflator
,Variable description,,"Private enterprise starts, # homes","Nominal house prices, £","Nominal construction cost, index","Sales, # homes","Owner-occupied + privated rented, # homes","BOE official base rate, %","Nominal disposable income / real disposable  income, index","GDP deflator, index"
,Variable geography,,Great Britain,United Kingdom,Great Britain,England & Wales,Great Britain,United Kingdom,United Kingdom,United Kingdom
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Q2," 50,010 "," 54,034 ",47.10," 303,750 "," 16,611 ",13.23,42.71,38.36
,,Q3," 40,280 "," 55,916 ",48.40," 292,500 "," 16,729 ",13.76,43.39,39.34
,,Q4," 32,450 "," 54,841 ",49.70," 283,500 "," 16,824 ",14.82,44.18,40.36
,1990,Q1," 35,980 "," 53,658 ",50.90," 258,000 "," 16,901 ",14.88,44.95,41.08
,,Q2," 37,390 "," 53,176 ",51.80," 270,000 "," 16,985 ",14.88,45.90,41.72
,,Q3," 34,350 "," 54,141 ",52.50," 261,750 "," 17,073 ",14.88,46.88,43.03
,,Q4," 29,330 "," 53,337 ",52.90," 258,750 "," 17,153 ",13.96,47.61,43.47
,1991,Q1," 32,010 "," 52,586 ",53.00," 235,500 "," 17,222 ",13.38,48.48,44.26
,,Q2," 38,350 "," 52,372 ",52.50," 243,000 "," 17,145 ",11.73,49.62,44.98
,,Q3," 36,510 "," 53,390 ",52.40," 264,750 "," 17,224 ",10.79,50.22,45.44
,,Q4," 29,740 "," 52,908 ",52.10," 236,250 "," 17,298 ",10.38,50.82,45.98
,1992,Q1," 32,040 "," 52,050 ",51.60," 177,000 "," 17,359 ",10.38,51.37,46.46
,,Q2," 34,800 "," 50,817 ",51.10," 198,750 "," 17,425 ",10.07,51.61,46.65
,,Q3," 29,770 "," 50,967 ",50.70," 275,250 "," 17,488 ",9.78,51.86,46.59
,,Q4," 23,550 "," 49,018 ",50.20," 201,000 "," 17,542 ",7.51,52.31,46.86
,1993,Q1," 34,910 "," 49,268 ",48.70," 179,250 "," 17,585 ",6.16,53.08,47.78
,,Q2," 38,690 "," 49,668 ",50.10," 209,250 "," 17,643 ",5.88,53.42,47.62
,,Q3," 36,000 "," 50,717 ",50.20," 260,250 "," 17,708 ",5.88,53.62,48.12
,,Q4," 31,310 "," 49,768 ",51.50," 248,250 "," 17,768 ",5.67,54.02,48.63
,1994,Q1," 39,280 "," 50,317 ",52.30," 224,250 "," 17,821 ",5.24,54.06,48.85
,,Q2," 44,380 "," 51,017 ",53.70," 234,000 "," 17,879 ",5.13,54.37,48.63
,,Q3," 41,020 "," 51,866 ",54.50," 258,750 "," 17,947 ",5.23,54.48,48.77
,,Q4," 34,270 "," 51,517 ",54.60," 239,250 "," 18,011 ",5.77,54.87,49.45
,1995,Q1," 35,470 "," 51,067 ",53.90," 213,000 "," 18,063 ",6.45,55.28,49.58
,,Q2," 39,370 "," 51,617 ",54.00," 210,000 "," 18,124 ",6.63,55.78,49.98
,,Q3," 33,890 "," 52,066 ",53.90," 223,500 "," 18,189 ",6.63,56.48,50.33
,,Q4," 25,990 "," 51,367 ",54.00," 204,000 "," 18,244 ",6.58,56.67,50.92
,1996,Q1," 33,280 "," 52,116 ",54.00," 185,027 "," 18,287 ",6.13,57.18,51.41
,,Q2," 37,720 "," 52,166 ",55.20," 238,478 "," 18,345 ",5.87,57.95,52.36
,,Q3," 39,160 "," 54,215 ",56.10," 279,743 "," 18,405 ",5.69,58.41,52.75
,,Q4," 35,540 "," 55,164 ",57.20," 290,748 "," 18,467 ",5.86,58.59,52.62
,1997,Q1," 42,510 "," 55,914 ",57.10," 228,736 "," 18,523 ",5.94,58.67,51.78
,,Q2," 42,510 "," 57,063 ",58.40," 289,049 "," 18,576 ",6.20,59.24,52.07
,,Q3," 41,520 "," 59,961 ",59.40," 316,937 "," 18,642 ",6.88,59.46,53.37
,,Q4," 36,490 "," 59,511 ",60.20," 289,365 "," 18,706 ",7.15,59.17,52.00
,1998,Q1," 41,870 "," 61,010 ",61.70," 218,153 "," 18,762 ",7.25,59.49,52.61
,,Q2," 40,580 "," 64,258 ",62.10," 279,969 "," 18,828 ",7.32,59.81,52.74
,,Q3," 40,620 "," 67,057 ",62.70," 302,169 "," 18,888 ",7.50,60.25,53.14
,,Q4," 32,040 "," 66,757 ",64.70," 277,514 "," 18,948 ",6.84,60.43,53.51
,1999,Q1," 40,410 "," 67,157 ",66.90," 223,665 "," 18,996 ",5.71,60.65,53.61
,,Q2," 40,780 "," 70,005 ",68.60," 301,576 "," 19,058 ",5.21,60.52,53.77
,,Q3," 40,410 "," 74,102 ",70.30," 356,486 "," 19,120 ",5.06,60.20,53.60
,,Q4," 35,700 "," 76,001 ",71.10," 339,438 "," 19,182 ",5.41,60.41,53.98
,2000,Q1," 42,640 "," 77,950 ",71.40," 254,869 "," 19,237 ",5.86,60.68,54.28
,,Q2," 41,730 "," 82,197 ",73.20," 307,589 "," 19,299 ",6.00,60.52,54.20
,,Q3," 40,250 "," 83,746 ",72.30," 300,317 "," 19,358 ",6.00,60.61,54.26
,,Q4," 30,900 "," 86,244 ",73.70," 276,762 "," 19,415 ",6.00,60.54,54.32
,2001,Q1," 39,340 "," 85,794 ",76.40," 237,527 "," 19,459 ",5.86,61.25,54.78
,,Q2," 42,940 "," 88,892 ",78.70," 319,982 "," 19,519 ",5.37,61.21,55.30
,,Q3," 42,880 "," 92,090 ",79.60," 358,008 "," 19,580 ",5.05,61.29,55.37
,,Q4," 34,930 "," 90,242 ",81.80," 321,202 "," 19,640 ",4.21,60.65,55.33
,2002,Q1," 41,520 "," 93,190 ",82.40," 265,452 "," 19,689 ",4.00,61.35,55.92
,,Q2," 42,440 "," 100,800 ",87.60," 351,965 "," 19,745 ",4.00,61.47,56.22
,,Q3," 44,280 "," 107,634 ",87.00," 375,381 "," 19,826 ",4.00,61.61,56.43
,,Q4," 35,460 "," 112,977 ",88.00," 334,638 "," 19,910 ",4.00,62.03,56.81
,2003,Q1," 44,100 "," 114,996 ",88.60," 227,137 "," 19,978 ",3.85,62.18,57.02
,,Q2," 45,630 "," 118,537 ",90.20," 283,270 "," 20,057 ",3.75,62.17,57.60
,,Q3," 44,920 "," 121,799 ",91.30," 337,391 "," 20,139 ",3.52,62.59,57.96
,,Q4," 40,780 "," 124,284 ",92.00," 363,269 "," 20,220 ",3.65,62.90,58.15
,2004,Q1," 46,340 "," 125,464 ",92.70," 285,822 "," 20,294 ",3.90,63.18,58.31
,,Q2," 51,200 "," 132,764 ",93.70," 352,582 "," 20,373 ",4.21,63.49,59.24
,,Q3," 49,940 "," 138,697 ",94.90," 333,895 "," 20,456 ",4.65,63.75,59.29
,,Q4," 41,610 "," 139,598 ",95.90," 255,532 "," 20,537 ",4.75,64.36,60.21
,2005,Q1," 43,260 "," 139,049 ",97.30," 182,159 "," 20,604 ",4.75,64.61,60.21
,,Q2," 48,730 "," 143,145 ",99.30," 256,967 "," 20,679 ",4.75,64.52,61.07
,,Q3," 47,310 "," 146,589 ",101.20," 293,065 "," 20,749 ",4.59,65.02,61.17
,,Q4," 43,430 "," 146,900 ",102.30," 289,162 "," 20,817 ",4.50,65.59,61.39
,2006,Q1," 50,700 "," 147,920 ",104.50," 255,467 "," 20,880 ",4.50,66.10,61.89
,,Q2," 49,750 "," 153,477 ",104.50," 318,101 "," 20,942 ",4.50,66.86,62.73
,,Q3," 43,830 "," 158,251 ",104.70," 352,665 "," 21,018 ",4.66,67.30,63.32
,,Q4," 38,050 "," 161,271 ",105.40," 355,502 "," 21,085 ",4.89,67.55,63.40
,2007,Q1," 49,870 "," 163,556 ",107.00," 282,548 "," 21,143 ",5.22,67.04,63.43
,,Q2," 49,990 "," 169,779 ",107.90," 332,124 "," 21,220 ",5.39,67.99,64.38
,,Q3," 47,620 "," 174,565 ",108.80," 344,866 "," 21,293 ",5.74,68.24,64.26
,,Q4," 43,430 "," 174,492 ",109.90," 288,234 "," 21,362 ",5.68,68.48,64.27
,2008,Q1," 35,410 "," 169,745 ",112.20," 181,871 "," 21,425 ",5.35,69.50,64.92
,,Q2," 33,300 "," 168,650 ",113.80," 190,990 "," 21,497 ",5.02,70.59,65.76
,,Q3," 19,810 "," 162,003 ",115.70," 145,427 "," 21,560 ",5.00,71.56,66.76
,,Q4," 15,320 "," 151,250 ",116.70," 122,588 "," 21,598 ",3.32,71.15,67.45
,2009,Q1," 15,360 "," 143,428 ",116.90," 91,786 "," 21,627 ",1.08,71.33,67.47
,,Q2," 18,770 "," 145,367 ",115.20," 138,668 "," 21,694 ",0.50,71.44,67.56
,,Q3," 23,810 "," 151,000 ",115.00," 179,754 "," 21,731 ",0.50,71.51,67.83
