date,year,quarter,starts_all,starts_private,comp_all,comp_private,hpi_index,hpi_price,hpi_index_rebased,base_rate,transactions_england,transactions_spliced_flag,housing_stock_eng,epc_lodgements,cpih_hist_flag,hpi_real,lrprc,cc_real,lrcc,cc_spliced_flag,lhstarts,lvol,lstock
1978-01-01,1978,1,45700,25880,57360,30230,730.9385171284425,13820.145190252571,7.127459200026921,6.5317333333333325,,,17603000.0,,1,27.94548465000543,3.330255635566637,40.90719536171103,3.7113059732898486,1,10.161225748614838,,16.68357990002811
1978-04-01,1978,2,69520,39760,61450,32930,766.4117139715103,14490.851028357225,7.4733621142511835,8.525833333333333,,,17654116.15623475,,1,28.630676243073093,3.354478738917455,44.67278810942129,3.7993645491185384,1,10.590616660770511,,16.68647952413933
1978-07-01,1978,3,59340,34490,59160,30620,841.5727449063268,15911.950526915596,8.206265318647143,10.0,,,17703225.941123694,,1,31.07695923405793,3.436466683971098,47.35484930714189,3.8576692284777083,1,10.448424705930886,,16.68925743749801
1978-10-01,1978,4,52130,33450,63340,33660,889.7400277483988,16822.668496619226,8.67594961518928,11.4394,,,17747104.29331958,,1,32.51680564199864,3.481757052364157,47.72905465012957,3.865540324622824,1,10.417807065556374,,16.69173292217265
1979-01-01,1979,1,31960,19060,43380,24810,941.0682885269819,17793.152333084658,9.176456943691996,13.041666666666666,,,17782000.0,,1,33.5845073654699,3.514064870320936,45.48444042261131,3.8173702987384464,1,9.855347177208193,,16.69369726766322
1979-04-01,1979,2,54080,33300,48790,27840,1008.853704276606,19074.79814253216,9.837439740179937,12.465333333333334,,,17805797.950202204,,1,35.0817931174744,3.557682281290991,49.79147325724219,3.9078437496367426,1,10.413312675968536,,16.695034689764064
1979-07-01,1979,3,52850,34260,47160,26130,1083.4628184288572,20485.462331021008,10.564961145344686,14.0,,,17823651.507907994,,1,36.03814655231972,3.5845780039015964,52.598637062476115,3.9626902080481896,1,10.441733771878111,,16.696036869672632
1979-10-01,1979,4,51690,34510,70130,39600,1161.7848273001844,21966.327696341177,11.328687381701219,15.545466666666668,,,17841159.02874544,,1,37.879091475059425,3.6343992837393158,52.841005414978184,3.967287507008648,1,10.449004416092048,,16.697018650984813
1980-01-01,1980,1,33160,20470,49600,27730,1199.365342767593,22676.87744562037,11.6951389838992,17.0,,,17864000.0,,1,37.91356195977603,3.6353088834308718,49.98838992434031,3.911790776952007,1,9.926715678655334,,16.69829807250213
1980-04-01,1980,2,38710,25210,49400,26250,1234.8385396106605,23347.583283725016,12.041041898123463,17.0,,,17895991.761485867,,1,37.52292061996196,3.6249519627919384,54.98500813220558,4.007060568661506,1,10.134996020181966,,16.70008732179694
1980-07-01,1980,3,32500,20120,51250,27050,1249.690118486966,23628.387991050306,12.18586122289062,16.029,,,17934898.49588804,,1,37.46099917678971,3.623300369825989,57.77941014343079,4.0566324863226155,1,9.909469624213676,,16.702259009377894
1980-10-01,1980,4,25370,17500,52360,27620,1242.7660715784182,23497.472282905408,12.118344105262688,15.200000000000001,,,17977103.928781528,,1,36.845048040110754,3.6067212280615313,57.14599801184591,4.045609361749441,1,9.769956159911606,,16.704609502220137
1981-01-01,1981,1,28260,22790,46070,24900,1255.0587635537388,23729.89509809019,12.238211451776047,13.545466666666668,,,18018000.0,,1,36.318899897268764,3.592338264102251,52.590899996597194,3.9625431009097953,1,10.03407712223973,,16.706881816193523
1981-04-01,1981,2,35940,27720,40370,21820,1274.5263737024095,24097.97694417874,12.42804218829516,12.0,,,18053731.847779233,,1,35.537987827146885,3.5706022039922063,55.50019731937178,4.016386576050064,1,10.22990945330384,,16.708862971942697
1981-07-01,1981,3,36290,27830,40880,24110,1279.292927733656,24188.100076597322,12.474521363473807,12.513633333333333,,,18086817.325063955,,1,35.26583390379987,3.5629146171634876,55.30371905124024,4.012840158549781,1,10.233869854519936,,16.71069390629675
1981-10-01,1981,4,30270,21270,41100,26070,1258.671309766894,23798.19894581796,12.273437774016706,14.609966666666667,,,18119553.096486572,,1,34.19592240807258,3.532106409126221,52.36704558734453,3.9582774924809314,1,9.965052908194282,,16.71250219472565
1982-01-01,1982,1,37910,27730,35670,23610,1278.6908366981302,24176.71610197603,12.468650309767032,13.796366666666666,,,18154000.0,,1,34.129292561961165,3.5301560349558048,48.71690802684919,3.886026157242576,1,10.230270138609823,,16.71440148006871
1982-04-01,1982,2,45370,33340,33610,23990,1305.23301651423,24678.559649864797,12.72746592734077,13.012866666666667,,,18191135.846444454,,1,33.92148354091433,3.5240485464329256,51.5249199785809,3.9420655737152663,1,10.414513156304785,,16.716444991999683
1982-07-01,1982,3,43750,33340,35790,25900,1320.5863379201405,24968.85100270783,12.877177796863576,11.3528,,,18231625.590753503,,1,34.231047012478435,3.5331330396430576,51.59455874897375,3.943416216325928,1,10.414513156304785,,16.718668313867127
1982-10-01,1982,4,38630,28050,41600,31300,1352.8985568266974,25579.790974050688,13.192257679127263,9.682466666666667,,,18274439.200349495,,1,34.8168705341581,3.5501020547742326,50.21184486547172,3.916250952360488,1,10.241743910950843,,16.72101387641789
