,,,,,,,,,,
,Variable name,,House building,Nominal house price,Nominal construction cost,Transactions,Private housing stock,Interest rate,House price (income) deflator,Construction cost deflator
,Variable description,,"Private enterprise starts, # homes","Nominal house prices, £","Nominal construction cost, index","Sales, # homes","Owner-occupied + privated rented, # homes","BOE official base rate, %","Nominal disposable income / real disposable  income, index","GDP deflator, index"
,Variable geography,,England,England,Great Britain,England & Wales,England,United Kingdom,United Kingdom,United Kingdom
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Q4," 40,040 "," 38,489 ",37.50," 401,250 ","13,947.273",9.03,39.46,34.70
,1988,Q1," 45,040 "," 40,335 ",38.60," 365,250 ","14,033.639",8.63,40.09,35.06
,,Q2," 54,280 "," 42,707 ",40.10," 388,500 ","14,116.923",7.98,40.63,35.75
,,Q3," 49,640 "," 48,771 ",42.10," 462,000 ","14,198.632",10.90,41.00,36.39
,,Q4," 44,520 "," 51,671 ",43.80," 395,250 ","14,280.273",12.28,41.47,37.17
,1989,Q1," 40,220 "," 52,725 ",45.50," 305,250 ","14,363.649",12.88,42.02,37.92
,,Q2," 41,780 "," 54,307 ",47.10," 303,750 ","14,447.498",13.23,42.71,38.36
,,Q3," 33,390 "," 56,416 ",48.40," 292,500 ","14,528.735",13.76,43.39,39.34
,,Q4," 26,070 "," 55,098 ",49.70," 283,500 ","14,604.273",14.82,44.18,40.36
,1990,Q1," 29,470 "," 53,894 ",50.90," 258,000 ","14,666.998",14.88,44.95,41.08
,,Q2," 30,440 "," 53,358 ",51.80," 270,000 ","14,721.298",14.88,45.90,41.72
,,Q3," 28,310 "," 54,109 ",52.50," 261,750 ","14,781.335",14.88,46.88,43.03
,,Q4," 24,510 "," 53,090 ",52.90," 258,750 ","14,861.273",13.96,47.61,43.47
,1991,Q1," 25,700 "," 52,125 ",53.00," 235,500 ","14,998.406",13.38,48.48,44.26
,,Q2," 32,500 "," 52,178 ",52.50," 243,000 ","15,065.588",11.73,49.62,44.98
,,Q3," 31,460 "," 53,197 ",52.40," 264,750 ","15,114.079",10.79,50.22,45.44
,,Q4," 24,650 "," 52,339 ",52.10," 236,250 ","15,153.876",10.38,50.82,45.98
,1992,Q1," 26,940 "," 51,374 ",51.60," 177,000 ","15,194.974",10.38,51.37,46.46
,,Q2," 28,910 "," 50,033 ",51.10," 198,750 ","15,237.805",10.07,51.61,46.65
,,Q3," 24,510 "," 50,180 ",50.70," 275,250 ","15,278.091",9.78,51.86,46.59
,,Q4," 19,230 "," 47,975 ",50.20," 201,000 ","15,318.111",7.51,52.31,46.86
,1993,Q1," 29,110 "," 48,465 ",48.70," 179,250 ","15,360.142",6.16,53.08,47.78
,,Q2," 31,560 "," 48,612 ",50.10," 209,250 ","15,404.947",5.88,53.42,47.62
,,Q3," 30,130 "," 49,641 ",50.20," 260,250 ","15,451.351",5.88,53.62,48.12
,,Q4," 25,660 "," 48,906 ",51.50," 248,250 ","15,498.650",5.67,54.02,48.63
,1994,Q1," 32,590 "," 49,543 ",52.30," 224,250 ","15,546.138",5.24,54.06,48.85
,,Q2," 36,980 "," 50,082 ",53.70," 234,000 ","15,594.299",5.13,54.37,48.63
,,Q3," 33,470 "," 50,719 ",54.50," 258,750 ","15,643.271",5.23,54.48,48.77
,,Q4," 28,360 "," 50,670 ",54.60," 239,250 ","15,691.926",5.77,54.87,49.45
,1995,Q1," 29,220 "," 50,197 ",53.90," 213,000 ","15,739.135",6.45,55.28,49.58
,,Q2," 33,040 "," 50,670 ",54.00," 210,000 ","15,784.138",6.63,55.78,49.98
