,,,,,,,,,,
,Variable name,,House building,Nominal house price,Nominal construction cost,Transactions,Private housing stock,Interest rate,House price (income) deflator,Construction cost deflator
,Variable description,,"Private enterprise starts, # homes","Nominal house prices, £","Nominal construction cost, index","Sales, # homes","Owner-occupied + privated rented, # homes","BOE official base rate, %","Nominal disposable income / real disposable  income, index","GDP deflator, index"
,Variable geography,,England,England,Great Britain,England & Wales,England,United Kingdom,United Kingdom,United Kingdom
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Q2," 54,280 "," 42,707 ",40.10," 388,500 "," 14,571 ",7.98,40.63,35.75
,,Q3," 49,640 "," 48,771 ",42.10," 462,000 "," 14,662 ",10.90,41.00,36.39
,,Q4," 44,520 "," 51,671 ",43.80," 395,250 "," 14,745 ",12.28,41.47,37.17
,1989,Q1," 40,220 "," 52,725 ",45.50," 305,250 "," 14,820 ",12.88,42.02,37.92
,,Q2," 41,780 "," 54,307 ",47.10," 303,750 "," 14,893 ",13.23,42.71,38.36
,,Q3," 33,390 "," 56,416 ",48.40," 292,500 "," 14,969 ",13.76,43.39,39.34
,,Q4," 26,070 "," 55,098 ",49.70," 283,500 "," 15,030 ",14.82,44.18,40.36
,1990,Q1," 29,470 "," 53,894 ",50.90," 258,000 "," 15,077 ",14.88,44.95,41.08
,,Q2," 30,440 "," 53,358 ",51.80," 270,000 "," 15,056 ",14.88,45.90,41.72
,,Q3," 28,310 "," 54,109 ",52.50," 261,750 "," 15,035 ",14.88,46.88,43.03
,,Q4," 24,510 "," 53,090 ",52.90," 258,750 "," 15,015 ",13.96,47.61,43.47
,1991,Q1," 25,700 "," 52,125 ",53.00," 235,500 "," 14,997 ",13.38,48.48,44.26
,,Q2," 32,500 "," 52,178 ",52.50," 243,000 "," 14,997 ",11.73,49.62,44.98
,,Q3," 31,460 "," 53,197 ",52.40," 264,750 "," 15,053 ",10.79,50.22,45.44
,,Q4," 24,650 "," 52,339 ",52.10," 236,250 "," 15,108 ",10.38,50.82,45.98
,1992,Q1," 26,940 "," 51,374 ",51.60," 177,000 "," 15,150 ",10.38,51.37,46.46
,,Q2," 28,910 "," 50,033 ",51.10," 198,750 "," 15,194 ",10.07,51.61,46.65
,,Q3," 24,510 "," 50,180 ",50.70," 275,250 "," 15,242 ",9.78,51.86,46.59
,,Q4," 19,230 "," 47,975 ",50.20," 201,000 "," 15,283 ",7.51,52.31,46.86
,1993,Q1," 29,110 "," 48,465 ",48.70," 179,250 "," 15,315 ",6.16,53.08,47.78
,,Q2," 31,560 "," 48,612 ",50.10," 209,250 "," 15,360 ",5.88,53.42,47.62
,,Q3," 30,130 "," 49,641 ",50.20," 260,250 "," 15,410 ",5.88,53.62,48.12
,,Q4," 25,660 "," 48,906 ",51.50," 248,250 "," 15,458 ",5.67,54.02,48.63
,1994,Q1," 32,590 "," 49,543 ",52.30," 224,250 "," 15,499 ",5.24,54.06,48.85
,,Q2," 36,980 "," 50,082 ",53.70," 234,000 "," 15,545 ",5.13,54.37,48.63
,,Q3," 33,470 "," 50,719 ",54.50," 258,750 "," 15,600 ",5.23,54.48,48.77
,,Q4," 28,360 "," 50,670 ",54.60," 239,250 "," 15,649 ",5.77,54.87,49.45
,1995,Q1," 29,220 "," 50,197 ",53.90," 213,000 "," 15,691 ",6.45,55.28,49.58
,,Q2," 33,040 "," 50,670 ",54.00," 210,000 "," 15,739 ",6.63,55.78,49.98
,,Q3," 27,280 "," 50,609 ",53.90," 223,500 "," 15,791 ",6.63,56.48,50.33
,,Q4," 20,870 "," 49,899 ",54.00," 204,000 "," 15,835 ",6.58,56.67,50.92
,1996,Q1," 26,960 "," 49,583 ",54.00," 185,027 "," 15,869 ",6.13,57.18,51.41
,,Q2," 31,590 "," 50,746 ",55.20," 238,478 "," 15,915 ",5.87,57.95,52.36
,,Q3," 33,100 "," 51,876 ",56.10," 279,743 "," 15,964 ",5.69,58.41,52.75
,,Q4," 29,940 "," 52,299 ",57.20," 290,748 "," 16,016 ",5.86,58.59,52.62
,1997,Q1," 35,320 "," 53,115 ",57.10," 228,736 "," 16,062 ",5.94,58.67,51.78
,,Q2," 35,360 "," 55,142 ",58.40," 289,049 "," 16,104 ",6.20,59.24,52.07
,,Q3," 34,340 "," 57,224 ",59.40," 316,937 "," 16,157 ",6.88,59.46,53.37
,,Q4," 31,060 "," 57,942 ",60.20," 289,365 "," 16,208 ",7.15,59.17,52.00
,1998,Q1," 35,530 "," 58,478 ",61.70," 218,153 "," 16,255 ",7.25,59.49,52.61
,,Q2," 34,770 "," 60,607 ",62.10," 279,969 "," 16,308 ",7.32,59.81,52.74
,,Q3," 34,240 "," 61,943 ",62.70," 302,169 "," 16,357 ",7.50,60.25,53.14
,,Q4," 27,270 "," 61,810 ",64.70," 277,514 "," 16,405 ",6.84,60.43,53.51
,1999,Q1," 32,760 "," 62,207 ",66.90," 223,665 "," 16,444 ",5.71,60.65,53.61
,,Q2," 34,240 "," 64,666 ",68.60," 301,576 "," 16,494 ",5.21,60.52,53.77
,,Q3," 33,540 "," 67,703 ",70.30," 356,486 "," 16,545 ",5.06,60.20,53.60
,,Q4," 29,750 "," 70,048 ",71.10," 339,438 "," 16,595 ",5.41,60.41,53.98
,2000,Q1," 35,210 "," 71,712 ",71.40," 254,869 "," 16,640 ",5.86,60.68,54.28
,,Q2," 34,970 "," 75,925 ",73.20," 307,589 "," 16,689 ",6.00,60.52,54.20
,,Q3," 32,830 "," 78,570 ",72.30," 300,317 "," 16,737 ",6.00,60.61,54.26
,,Q4," 25,460 "," 78,992 ",73.70," 276,762 "," 16,783 ",6.00,60.54,54.32
,2001,Q1," 33,020 "," 79,894 ",76.40," 237,527 "," 16,819 ",5.86,61.25,54.78
,,Q2," 35,720 "," 83,757 ",78.70," 319,982 "," 16,868 ",5.37,61.21,55.30
,,Q3," 35,390 "," 87,629 ",79.60," 358,008 "," 16,915 ",5.05,61.29,55.37
,,Q4," 29,190 "," 89,767 ",81.80," 321,202 "," 16,961 ",4.21,60.65,55.33
,2002,Q1," 35,070 "," 91,850 ",82.40," 265,452 "," 17,000 ",4.00,61.35,55.92
,,Q2," 34,840 "," 98,386 ",87.60," 351,965 "," 17,043 ",4.00,61.47,56.22
,,Q3," 36,650 "," 105,979 ",87.00," 375,381 "," 17,114 ",4.00,61.61,56.43
,,Q4," 29,410 "," 111,582 ",88.00," 334,638 "," 17,188 ",4.00,62.03,56.81
,2003,Q1," 37,790 "," 115,380 ",88.60," 227,137 "," 17,247 ",3.85,62.18,57.02
,,Q2," 37,580 "," 120,814 ",90.20," 283,270 "," 17,318 ",3.75,62.17,57.60
,,Q3," 36,540 "," 125,904 ",91.30," 337,391 "," 17,382 ",3.52,62.59,57.96
,,Q4," 33,480 "," 129,676 ",92.00," 363,269 "," 17,444 ",3.65,62.90,58.15
,2004,Q1," 38,210 "," 132,989 ",92.70," 285,822 "," 17,501 ",3.90,63.18,58.31
,,Q2," 43,020 "," 141,901 ",93.70," 352,582 "," 17,565 ",4.21,63.49,59.24
,,Q3," 41,310 "," 149,404 ",94.90," 333,895 "," 17,635 ",4.65,63.75,59.29
,,Q4," 34,610 "," 150,927 ",95.90," 255,532 "," 17,702 ",4.75,64.36,60.21
,2005,Q1," 35,380 "," 150,062 ",97.30," 182,159 "," 17,758 ",4.75,64.61,60.21
,,Q2," 40,820 "," 153,727 ",99.30," 256,967 "," 17,820 ",4.75,64.52,61.07
,,Q3," 39,940 "," 156,841 ",101.20," 293,065 "," 17,878 ",4.59,65.02,61.17
,,Q4," 36,660 "," 157,099 ",102.30," 289,162 "," 17,935 ",4.50,65.59,61.39
,2006,Q1," 42,900 "," 157,809 ",104.50," 255,467 "," 17,987 ",4.50,66.10,61.89
,,Q2," 38,900 "," 163,039 ",104.50," 318,101 "," 18,037 ",4.50,66.86,62.73
,,Q3," 36,420 "," 167,440 ",104.70," 352,665 "," 18,099 ",4.66,67.30,63.32
,,Q4," 30,990 "," 170,157 ",105.40," 355,502 "," 18,157 ",4.89,67.55,63.40
,2007,Q1," 43,040 "," 172,441 ",107.00," 282,548 "," 18,206 ",5.22,67.04,63.43
,,Q2," 41,470 "," 178,236 ",107.90," 332,124 "," 18,275 ",5.39,67.99,64.38
,,Q3," 40,440 "," 183,304 ",108.80," 344,866 "," 18,336 ",5.74,68.24,64.26
,,Q4," 34,950 "," 183,658 ",109.90," 288,234 "," 18,395 ",5.68,68.48,64.27
,2008,Q1," 29,290 "," 179,534 ",112.20," 181,871 "," 18,447 ",5.35,69.50,64.92
,,Q2," 25,400 "," 178,203 ",113.80," 190,990 "," 18,510 ",5.02,70.59,65.76
,,Q3," 15,670 "," 171,382 ",115.70," 145,427 "," 18,560 ",5.00,71.56,66.76
,,Q4," 12,010 "," 159,645 ",116.70," 122,588 "," 18,591 ",3.32,71.15,67.45
,2009,Q1," 12,490 "," 151,996 ",116.90," 91,786 "," 18,615 ",1.08,71.33,67.47
,,Q2," 15,360 "," 153,572 ",115.20," 138,668 "," 18,673 ",0.50,71.44,67.56
,,Q3," 20,160 "," 160,028 ",115.00," 179,754 "," 18,705 ",0.50,71.51,67.83
,,Q4," 16,990 "," 163,420 ",115.00," 205,477 "," 18,746 ",0.50,71.13,67.28
,2010,Q1," 21,260 "," 165,057 ",115.40," 129,859 "," 18,781 ",0.50,71.17,68.23
,,Q2," 24,930 "," 167,806 ",116.00," 167,516 "," 18,807 ",0.50,71.70,68.28
,,Q3," 22,400 "," 170,434 ",115.80," 186,774 "," 18,844 ",0.50,72.20,68.42
,,Q4," 16,270 "," 166,935 ",115.70," 172,287 "," 18,877 ",0.50,72.92,68.80
,2011,Q1," 21,120 "," 164,059 ",116.10," 124,275 "," 18,901 ",0.50,74.20,70.02
,,Q2," 23,390 "," 165,223 ",116.60," 157,696 "," 18,933 ",0.50,74.44,69.63
,,Q3," 23,660 "," 167,200 ",117.60," 190,826 "," 18,963 ",0.50,74.99,70.20
,,Q4," 19,620 "," 165,281 ",118.70," 182,405 "," 18,993 ",0.50,75.56,70.67
,2012,Q1," 20,630 "," 164,488 ",119.70," 149,958 "," 19,019 ",0.50,75.82,70.90
,,Q2," 19,820 "," 167,510 ",119.70," 155,532 "," 19,046 ",0.50,76.16,70.95
,,Q3," 22,230 "," 169,771 ",120.30," 177,203 "," 19,076 ",0.50,75.81,71.30
,,Q4," 17,580 "," 168,522 ",120.80," 179,752 "," 19,109 ",0.50,76.38,71.70
,2013,Q1," 22,350 "," 167,492 ",121.18," 142,879 "," 19,136 ",0.50,77.21,72.33
,,Q2," 26,420 "," 170,766 ",121.88," 183,840 "," 19,167 ",0.50,77.74,72.43
,,Q3," 28,370 "," 174,979 ",123.26," 224,015 "," 19,206 ",0.50,77.92,73.03
,,Q4," 21,680 "," 176,290 ",125.58," 245,574 "," 19,249 ",0.50,78.01,73.19
,2014,Q1," 30,870 "," 178,646 ",128.20," 204,451 "," 19,281 ",0.50,78.43,73.57
,,Q2," 30,170 "," 185,168 ",126.62," 236,210 "," 19,314 ",0.50,78.90,73.51
,,Q3," 29,220 "," 191,304 ",127.05," 258,916 "," 19,359 ",0.50,78.78,74.40
,,Q4," 21,530 "," 191,773 ",127.05," 245,250 "," 19,403 ",0.50,78.49,74.15
,2015,Q1," 33,630 "," 191,861 ",128.03," 188,066 "," 19,435 ",0.50,78.10,74.30
,,Q2," 30,450 "," 196,404 ",128.29," 227,262 "," 19,481 ",0.50,78.29,74.17
,,Q3," 30,810 "," 203,185 ",128.07," 264,120 "," 19,527 ",0.50,78.47,74.39
,,Q4," 25,700 "," 206,060 ",128.46," 260,052 "," 19,573 ",0.50,78.67,74.75
,2016,Q1," 30,500 "," 208,858 ",130.42," 256,165 "," 19,612 ",0.50,78.74,75.10
,,Q2," 33,490 "," 213,558 ",131.32," 196,787 "," 19,662 ",0.50,79.01,75.22
,,Q3," 35,870 "," 218,061 ",132.47," 245,921 "," 19,720 ",0.34,79.66,75.99
,,Q4," 28,300 "," 218,070 ",134.10," 237,149 "," 19,782 ",0.25,80.08,76.47
,2017,Q1," 34,940 "," 219,054 ",135.72," 202,736 "," 19,831 ",0.25,80.19,76.73
,,Q2," 35,730 "," 223,553 ",136.28," 227,935 "," 19,884 ",0.25,80.63,76.71
,,Q3," 34,020 "," 228,504 ",138.24," 250,884 "," 19,948 ",0.25,80.92,76.71
,,Q4," 30,610 "," 228,313 ",139.31," 243,961 "," 20,008 ",0.41,81.29,77.30
,2018,Q1," 34,990 "," 227,687 ",141.06," 194,062 "," 20,063 ",0.50,81.86,77.53
,,Q2," 34,720 "," 229,992 ",142.39," 217,095 "," 20,126 ",0.50,82.23,78.17
,,Q3," 39,380 "," 234,413 ",142.39," 240,212 "," 20,183 ",0.66,82.64,78.56
,,Q4," 29,100 "," 233,225 ",143.46," 242,014 "," 20,248 ",0.75,82.86,79.23
,2019,Q1," 31,900 "," 230,385 ",144.95," 186,586 "," 20,296 ",0.75,82.93,79.33
,,Q2," 31,830 "," 231,450 ",147.00," 207,233 "," 20,354 ",0.75,83.45,80.16
,,Q3," 35,350 "," 235,192 ",147.69," 234,246 "," 20,414 ",0.75,83.88,80.64
,,Q4," 23,980 "," 234,399 ",146.66," 234,740 "," 20,482 ",0.75,84.00,81.07
,2020,Q1," 28,050 "," 234,069 ",146.87," 180,476 "," 20,527 ",0.61,83.54,81.73
,,Q2," 13,560 "," 234,354 ",147.05," 106,105 "," 20,588 ",0.10,83.97,87.79
,,Q3," 31,460 "," 241,441 ",147.90," 181,639 "," 20,615 ",0.10,84.03,84.27
,,Q4," 29,380 "," 247,669 ",148.50," 253,724 "," 20,676 ",0.10,84.05,83.67
,2021,Q1," 37,160 "," 251,869 ",150.12," 302,512 "," 20,734 ",0.10,84.89,84.78
,,Q2," 37,720 "," 256,012 ",153.33," 331,628 "," 20,789 ",0.10,85.16,83.82
,,Q3," 38,530 "," 259,260 ",158.03," 262,709 "," 20,848 ",0.10,86.44,84.74
,,Q4," 28,770 "," 264,401 ",161.92," 211,890 "," 20,908 ",0.13,88.40,85.79
,2022,Q1," 35,670 "," 271,240 ",166.53," 210,251 "," 20,953 ",0.45,89.80,86.98
,,Q2," 46,910 "," 278,004 ",172.17," 219,489 "," 21,011 ",0.95,92.82,88.76
,,Q3," 35,310 "," 288,668 ",174.91," 247,694 "," 21,095 ",1.62,94.42,90.19
,,Q4," 24,880 "," 289,398 ",178.63," 239,261 "," 21,165 ",2.81,97.07,92.47
,2023,Q1," 28,840 "," 283,105 ",183.54," 166,276 "," 21,224 ",3.85,98.95,93.91
,,Q2," 53,690 "," 280,495 ",186.19," 149,994 "," 21,222 ",4.44,99.95,95.31
,,Q3," 17,530 "," 284,788 ",187.13," 177,893 "," 21,262 ",5.16,100.42,96.00
,,Q4," 12,800 "," 280,946 ",186.06," 171,221 "," 21,313 ",5.25,100.67,95.95
,2024,Q1," 17,100 "," 277,322 ",188.20," 150,630 "," 21,380 ",5.25,102.13,97.34
,,Q2," 18,690 "," 280,127 ",191.96," 174,849 "," 21,412 ",5.25,102.69,98.31
,,Q3," 21,440 "," 286,341 ",192.26," 208,905 "," 21,412 ",5.08,103.17,99.71
,,Q4," 18,780 "," 287,148 ",193.28," 220,995 "," 21,412 ",4.85,104.08,100.65
,2025,Q1," 21,960 "," 289,155 ",195.29," 232,701 "," 21,412 ",4.60,105.50,101.33
,,Q2," 23,360 "," 286,002 ",196.96," 125,874 "," 21,412 ",4.35,106.36,102.35
,,Q3," 22,880 "," 292,949 ",198.20," 162,023 "," 21,412 ",4.10,107.17,103.23
,,Q4," 25,380 "," 292,621 ",199.31," 50,549 "," 21,412 ",3.97,107.58,103.82
