K*,4.0
P*,4.0
n,175.0
adj_r2,0.7590892105108007
aic,3406.5466615581977
bic,3457.1832371409737
ljung_box_4_p,0.3717199661426546
ljung_box_8_p,0.4123958583260946
breusch_godfrey_4_stat,2.6085443935752037
breusch_godfrey_4_p,0.03777647746938852
cum_granted,0.22911128961634764
cum_granted_se,0.21672128023856363
cum_granted_p,0.2904338954990019
joint_F,10.280445908753437
joint_p,1.4870221452085108e-08
sum_rho,0.7587381951210862
long_run_mult,0.9496376342344601
long_run_se,0.6352772668262016
regstd_joint_F,174.240387328807
regstd_joint_p,1.3718552421030296e-40
