spec,n,cum_coef,cum_se,cum_p,joint_F,joint_p,long_run,adj_r2,lb4_p
headline,175,0.22911128961634764,0.21672128023856363,0.2904338954990019,10.280445908753437,1.4870221452085108e-08,0.9496376342344601,0.7590892105108007,0.3717199661426546
+ linear trend,175,0.16135788211243318,0.19774021542575135,0.4144947376011382,10.19334052048936,1.7645973338946146e-08,0.6876440333419305,0.7579702635517896,0.3971163649716292
+ real house-price growth,175,0.2792186127111098,0.2339946222555796,0.23276389895177318,8.386922431097906,4.6731482571906024e-07,0.8755539930256793,0.7635463889095487,0.2983996444954973
+ transactions growth,175,0.2130143506140696,0.21148012827774262,0.31381239859651555,13.440344184310675,6.382370391826177e-11,1.062188481446276,0.7754974477816893,0.6402991347103144
+ house-price volatility,175,0.23590206295786487,0.22897987348000068,0.30290178788552846,11.378903685367034,2.176751984173373e-09,0.9671437371392023,0.7576340884974158,0.36679054899045616
+ all three controls,175,0.2665340113594816,0.25210407076795066,0.29040296707792745,10.698129086307777,7.451075614036905e-09,1.017860658618851,0.7747568961763815,0.5779548760214532
old series: major total (all),175,-0.20432351706065877,1.2048116799886133,0.8653329110914618,3.511581683234199,0.004875448415576695,-1.1014852333147371,0.7223245402608273,0.35920233413640446
sample 1982Q2-2007Q4,103,0.06576639500267933,0.1011181012673415,0.5154391017679072,18.093250765148863,2.194079021120257e-12,0.2807033746501192,0.8634702683798475,0.8943275000549272
sample 1997Q1-2025Q4,116,0.4350549271364974,0.5266257735434322,0.4087372694819813,2.466611083462747,0.03761051059092815,1.816882905564939,0.6801624012171366,0.7839924500722163
sample 1982Q2-2019Q4 (pre-Covid),151,0.11418007790047913,0.1178924566291286,0.3327894954878656,13.331035498886536,1.3778957048465292e-10,0.7306266290288133,0.8766697559653911,0.14931573060894834
