P,adj_r2,aic,bic,lb4_p,lb8_p,cum_coef,cum_p,joint_F,joint_p,sum_rho,long_run
0,0.5564111060578665,3509.7272276777976,3547.7046593648797,8.04282625529483e-46,2.002999360533332e-58,1.4262311732301225,2.5834743973548225e-09,18.444689715670457,1.7101469219535034e-14,0.0,1.4262311732301225
1,0.7414398124916701,3416.190600477212,3457.3328181382176,0.00233201235547156,0.010541933785443599,0.4542991395495707,0.06756865191867904,7.52437431854672,2.2361434429947757e-06,0.6384937558569923,1.2566840736777294
2,0.7519749207569634,3409.8272448208404,3454.1342484557695,0.0367500021817296,0.12573833186894262,0.3300764440795818,0.1338803494693681,9.10521540751515,1.2077159042526013e-07,0.7088669763292146,1.1337650394921663
3,0.7524025806362524,3410.4348925608388,3457.9066821696915,0.10725112814261911,0.2843985674531676,0.2920164708886396,0.15741055942400617,9.99396031664126,2.4459869601141794e-08,0.726996794631555,1.0696448435267794
4,0.7590892105108007,3406.5466615581977,3457.1832371409737,0.3717199661426546,0.4123958583260946,0.22911128961634764,0.2904338954990019,10.280445908753437,1.4870221452085108e-08,0.7587381951210862,0.9496376342344601
