Date,rebase
1975Q1,11.874519612824221
1975Q2,12.519338651742833
1975Q3,13.021627270730296
1975Q4,13.68568736825696
1976Q1,14.231100833428014
1976Q2,14.578333615007605
1976Q3,14.9752191647189
1976Q4,15.754639646298363
1977Q1,16.480907654191483
1977Q2,17.03309306512265
1977Q3,17.341060167035963
1977Q4,17.63554345050643
1978Q1,18.216736692382817
1978Q2,18.577621931781955
1978Q3,18.931013051584834
1978Q4,19.563703298343366
1979Q1,20.147575243149824
1979Q2,20.570237779758607
1979Q3,21.963069772482342
1979Q4,22.921730115763406
1980Q1,23.850766944712493
1980Q2,24.70533324668112
1980Q3,25.280565321660575
1980Q4,26.363946217855293
1981Q1,27.091104838944336
1981Q2,27.780271441902222
1981Q3,28.400929196197882
1981Q4,29.35408642804141
1982Q1,30.102790014684288
1982Q2,30.48234766972947
1982Q3,30.834456489891593
1982Q4,31.52158040152573
1983Q1,32.04963905283702
1983Q2,32.31883894029547
1983Q3,32.62328317295337
1983Q4,33.10641347187388
1984Q1,33.51459501148488
1984Q2,34.085343438056725
1984Q3,34.48112740514197
1984Q4,34.92196749542568
1985Q1,34.90014444012131
1985Q2,35.43068014441969
1985Q3,35.94249201277955
1985Q4,36.47091687221976
1986Q1,36.63369422913073
1986Q2,36.98128498746829
1986Q3,37.38500764915859
1986Q4,37.854378818737274
1987Q1,38.28553712602697
1987Q2,38.64777491539122
1987Q3,38.98980837756348
1987Q4,39.46367741424384
1988Q1,40.087278755668244
1988Q2,40.632895008077774
1988Q3,41.00236536611032
1988Q4,41.46899140924189
1989Q1,42.01975728358251
1989Q2,42.70740839062257
1989Q3,43.38526079521163
1989Q4,44.17821461651214
1990Q1,44.94915283865695
1990Q2,45.90284961495274
1990Q3,46.87836571718781
1990Q4,47.613196402548915
1991Q1,48.48075884938691
1991Q2,49.61978928080623
1991Q3,50.220512538076015
1991Q4,50.82324270162866
1992Q1,51.3658345314338
1992Q2,51.61018328748711
1992Q3,51.86004049236731
1992Q4,52.309833831163175
1993Q1,53.08024655317658
1993Q2,53.423024039651025
