"period","vecm_log","vecm_starts","vecm_lower","vecm_upper"
"2026Q1",10.0541476891392,23252.029304932,18967.20366529,28504.8274030408
"2026Q2",10.2073597164174,27101.9162965427,20957.0061192641,35048.6067888116
"2026Q3",10.044176285076,23021.3260546515,17036.3436734699,31108.8730934618
"2026Q4",9.93393858036524,20618.388049028,14720.2461442694,28879.8109470337
"2027Q1",9.93036068512007,20544.7494306517,14248.9604966686,29622.2822196008
"2027Q2",10.1301019733236,25086.922497891,16890.5678162438,37260.658567673
"2027Q3",10.0573485789149,23326.5757315971,15318.7645528452,35520.4320482145
"2027Q4",9.94650757048046,20879.1758510088,13360.2197972973,32629.7015192474
"2028Q1",10.0113961949262,22278.9194659192,14007.4677299284,35434.6882776257
"2028Q2",10.1841618563787,26480.4460945154,16327.1523845964,42947.7234515241
"2028Q3",10.1238268767254,24929.9925261809,15092.1151566739,41180.7437793503
"2028Q4",9.98088544287126,21609.4380040406,12830.8240138961,36394.2183561036
"2029Q1",10.0617041863125,23428.3987269349,13702.8747909633,40056.5483726248
"2029Q2",10.2113130149718,27209.2703245071,15656.9631795978,47285.3121706788
"2029Q3",10.158846470961,25818.4974891069,14624.9789789304,45579.1979978469
"2029Q4",9.99944170127337,22014.1718791594,12272.2598469331,39489.3662267329
"2030Q1",10.0918704277136,24145.9134082831,13282.637552467,43893.7772725734
"2030Q2",10.2285704571661,27682.9078657147,15015.5315539229,51036.7138951826
"2030Q3",10.1815675686608,26411.8372324927,14128.1017316119,49375.716515038
"2030Q4",10.0115543293764,22282.4428091748,11753.4899415873,42243.3898366948
"2031Q1",10.1110251660593,24612.8800965261,12824.1556509569,47238.4992146261
