date,Quarter,lstm,actual
2010-01-01,2010Q1,10.213475369967615,9.964582651895938
2010-04-01,2010Q2,10.224508944501325,10.123827176517604
2010-07-01,2010Q3,10.221611364921857,10.01681623784313
2010-10-01,2010Q4,10.225380195504693,9.697078200213083
2011-01-01,2011Q1,10.25316436586091,9.957975737820197
2011-04-01,2011Q2,10.264712146863479,10.060063859578225
2011-07-01,2011Q3,10.25761011119949,10.071541137532378
2011-10-01,2011Q4,10.24511890785417,9.884304733119354
2012-01-01,2012Q1,10.259438535832885,9.934501606065297
2012-04-01,2012Q2,10.26846178676096,9.894446807883979
2012-07-01,2012Q3,10.263294847521605,10.009198006958242
2012-10-01,2012Q4,10.247420858064899,9.774517171239168
2013-01-01,2013Q1,10.262842705195984,10.014581600041716
2013-04-01,2013Q2,10.269612395165332,10.181876578076317
2013-07-01,2013Q3,10.265983781875084,10.253087527802897
2013-10-01,2013Q4,10.260663760249933,9.984145455553582
2014-01-01,2014Q1,10.287679080855364,10.337540117496205
2014-04-01,2014Q2,10.306998134475604,10.314603332153107
2014-07-01,2014Q3,10.324906540939192,10.282608685304691
2014-10-01,2014Q4,10.329425525251825,9.97720259035841
2015-01-01,2015Q1,10.353268898373802,10.423173804734315
2015-04-01,2015Q2,10.365532158972691,10.323841273138044
2015-07-01,2015Q3,10.370967163323325,10.335594591590713
2015-10-01,2015Q4,10.36375832694978,10.154246270883311
2016-01-01,2016Q1,10.38109576946123,10.325481962595504
2016-04-01,2016Q2,10.391764900503917,10.41900216578825
2016-07-01,2016Q3,10.388895640936633,10.487656570526328
2016-10-01,2016Q4,10.377912634851977,10.25061708363133
2017-01-01,2017Q1,10.391412046292228,10.461387583688047
2017-04-01,2017Q2,10.39540920936067,10.483745951017456
2017-07-01,2017Q3,10.396562323555168,10.434703865949853
2017-10-01,2017Q4,10.385624664250205,10.329082031939459
2018-01-01,2018Q1,10.398632495818866,10.462817585361734
2018-04-01,2018Q2,10.396177791725316,10.455071168774287
2018-07-01,2018Q3,10.396534515396455,10.581013352193116
2018-10-01,2018Q4,10.387702376803093,10.278493453159584
2019-01-01,2019Q1,10.39955998958719,10.370361288772935
2019-04-01,2019Q2,10.394962063336092,10.368164520276139
2019-07-01,2019Q3,10.385332138081733,10.473053671324719
2019-10-01,2019Q4,10.371732959142397,10.084975428581505
2020-01-01,2020Q1,10.37795798354157,10.241743910950843
2020-04-01,2020Q2,10.371797515706453,9.514879561494386
2020-07-01,2020Q3,10.35003691052597,10.356472176612268
2020-10-01,2020Q4,10.30793175520637,10.288069449727868
2021-01-01,2021Q1,10.318296994259674,10.522988192927775
2021-04-01,2021Q2,10.343401698596672,10.537945736747394
2021-07-01,2021Q3,10.377594256263428,10.559192437620203
2021-10-01,2021Q4,10.385224188566719,10.267088456545594
2022-01-01,2022Q1,10.400407523439808,10.482065278352938
2022-04-01,2022Q2,10.407769103191718,10.755986151322503
2022-07-01,2022Q3,10.432679987909319,10.471921488922431
2022-10-01,2022Q4,10.432081554805897,10.121819546853116
2023-01-01,2023Q1,10.436109245732093,10.269518591398885
2023-04-01,2023Q2,10.413473637547707,10.890982043416615
2023-07-01,2023Q3,10.388181070572564,9.77166897791528
2023-10-01,2023Q4,10.363508874778798,9.457200449907708
2024-01-01,2024Q1,10.348289889693445,9.746833742490752
2024-04-01,2024Q2,10.321551098880576,9.835743900449609
2024-07-01,2024Q3,10.296058557630028,9.973013615184739
2024-10-01,2024Q4,10.27641147469143,9.840547752762253
2025-01-01,2025Q1,10.282784524058522,9.996977895623466
2025-04-01,2025Q2,10.28711319246516,10.058780436942163
2025-07-01,2025Q3,10.282361351111426,10.038018445493734
2025-10-01,2025Q4,10.276364972421627,10.141716741268379
