"target","date","actual","rw","snaive","ar","tslm","tslm_s","vecm","ardl","nardl","dummy_target"
141,"2010-01-01",9.96458265189594,9.74038021466598,9.43268360311962,9.95684566259765,10.3410472517774,10.3046454709882,9.99702437177389,9.9981617908809,10.0723869633262,FALSE
142,"2010-04-01",10.1238271765176,9.96458265189594,9.63952200670166,10.0892948422143,10.3301783196505,10.442196105955,9.85594403604752,9.97782575752684,9.95887196800562,FALSE
143,"2010-07-01",10.0168162378431,10.1238271765176,9.91145572218531,10.3244206200385,10.3240637107882,10.3814341139712,9.99239903914002,10.0697695423799,10.0453793611248,FALSE
144,"2010-10-01",9.69707820021308,10.0168162378431,9.74038021466598,9.84881499867374,10.3151065028115,10.1985083272987,9.77331308958293,9.78071658079024,9.70937741585543,FALSE
145,"2011-01-01",9.9579757378202,9.69707820021308,9.96458265189594,9.77436123325175,10.2974866525704,10.2618804771464,9.90940322863213,9.88773934823957,9.88015227078705,FALSE
146,"2011-04-01",10.0600638595782,9.9579757378202,10.1238271765176,10.1745465312025,10.2874908425014,10.4007937069696,9.97368878020338,10.0569436134548,9.97579393755393,FALSE
147,"2011-07-01",10.0715411375324,10.0600638595782,10.0168162378431,10.0323839374029,10.2805337503649,10.3382849917049,9.99148966027997,10.038625902221,9.98737047181164,FALSE
148,"2011-10-01",9.88430473311935,10.0715411375324,9.69707820021308,9.88457960943276,10.2740570802845,10.1535224507236,9.83957742486305,9.84030522447081,9.81506260035416,FALSE
149,"2012-01-01",9.9345016060653,9.88430473311935,9.9579757378202,10.1149678939664,10.2626757995674,10.2265275531326,10.0359635713675,10.0661876542563,10.0760912194152,FALSE
150,"2012-04-01",9.89444680788398,9.9345016060653,10.0600638595782,10.0779630102257,10.2529122751659,10.3646891063018,10.0263017806088,10.0832705741874,10.0299157320311,FALSE
151,"2012-07-01",10.0091980069582,9.89444680788398,10.0715411375324,9.88083350091635,10.2423116166455,10.3015872404646,9.86690412657312,9.92806905052695,9.88556197303194,FALSE
152,"2012-10-01",9.77451717123917,10.0091980069582,9.88430473311935,9.94471333877305,10.2349998845542,10.116250244154,9.80555813246294,9.81465124913798,9.83169844692348,FALSE
153,"2013-01-01",10.0145816000417,9.77451717123917,9.9345016060653,9.89303448661338,10.2216844418578,10.1867165731758,9.95163963701922,9.94495651441432,9.97165928078949,FALSE
154,"2013-04-01",10.1818765780763,10.0145816000417,9.89444680788398,10.045423970118,10.2149537083309,10.322571200881,10.0246051077025,10.0837140445562,10.1350525281863,FALSE
155,"2013-07-01",10.2530875278029,10.1818765780763,10.0091980069582,10.2844262739922,10.212725543762,10.2705662245388,10.1264336832948,10.1822832777813,10.1489537456093,FALSE
156,"2013-10-01",9.98414545555358,10.2530875278029,9.77451717123917,10.0947355488115,10.2123898107033,10.0891789688909,10.0152225751347,10.0699227248022,10.0380631884964,FALSE
157,"2014-01-01",10.3375401174962,9.98414545555358,10.0145816000417,10.076773086233,10.2051700740742,10.1684369984527,10.1979698711063,10.2384213299914,10.2675924571768,FALSE
158,"2014-04-01",10.3146033321531,10.3375401174962,10.1818765780763,10.4308905626886,10.2071193271561,10.3117029629628,10.3635780184777,10.3916832062193,10.3799437195531,FALSE
159,"2014-07-01",10.2826086853047,10.3146033321531,10.2530875278029,10.3115775433409,10.2084492263701,10.2655829669474,10.351267879126,10.3588395092533,10.3439449232081,FALSE
160,"2014-10-01",9.97720259035841,10.2826086853047,9.98414545555358,10.0373923233169,10.2089493291865,10.0825933894574,10.0611533285857,10.0814485306848,10.0762683408676,FALSE
161,"2015-01-01",10.4231738047343,9.97720259035841,10.3375401174962,10.2125880177639,10.201807607205,10.1688061000972,10.2621588884216,10.247155329652,10.2421731290931,FALSE
162,"2015-04-01",10.323841273138,10.4231738047343,10.3146033321531,10.427620505077,10.2059053567215,10.30952524701,10.410622485341,10.3929237152132,10.4309910083255,FALSE
163,"2015-07-01",10.3355945915907,10.323841273138,10.2826086853047,10.2822135079968,10.2074662467702,10.2639698027751,10.365081487295,10.36755296142,10.4119606469965,FALSE
164,"2015-10-01",10.1542462708833,10.3355945915907,9.97720259035841,10.1065890362642,10.2092861902703,10.0789127630612,10.0933239765259,10.1045713069712,10.0967515886367,FALSE
165,"2016-01-01",10.3254819625955,10.1542462708833,10.4231738047343,10.4594025524311,10.2066482012711,10.1773773565682,10.4525800444095,10.4760420333362,10.532354813347,FALSE
166,"2016-04-01",10.4190021657882,10.3254819625955,10.323841273138,10.2909666457267,10.2082212638131,10.3102851037928,10.5356554461852,10.4446102629823,10.4207761914748,FALSE
167,"2016-07-01",10.4876565705263,10.4190021657882,10.3355945915907,10.3294169290436,10.2120185972698,10.2678335549797,10.3211875093754,10.3270739841449,10.4054813395225,FALSE
168,"2016-10-01",10.2506170836313,10.4876565705263,10.1542462708833,10.3826963134623,10.2173846002718,10.0854986493031,10.1485597681722,10.164808411469,10.139632616057,FALSE
169,"2017-01-01",10.461387583688,10.2506170836313,10.3254819625955,10.3370536314149,10.2169986931189,10.1874928438568,10.341171009507,10.2972018853937,10.2781960850194,FALSE
170,"2017-04-01",10.4837459510175,10.461387583688,10.4190021657882,10.4871296886189,10.2216129117272,10.3217221067863,10.5470277389821,10.4965854699565,10.5458741254984,FALSE
171,"2017-07-01",10.4347038659499,10.4837459510175,10.4876565705263,10.4875409332294,10.2266616525185,10.2828571960962,10.4420840524467,10.4602695744779,10.3988104761336,FALSE
172,"2017-10-01",10.3290820319395,10.4347038659499,10.2506170836313,10.2368801908114,10.2304631454424,10.0980437050645,10.1998217035459,10.1902592140597,10.2123523571402,FALSE
173,"2018-01-01",10.4628175853617,10.3290820319395,10.461387583688,10.438069985256,10.2317340565903,10.203936645326,10.4240964478402,10.3989163689373,10.3908007793416,FALSE
174,"2018-04-01",10.4550711687743,10.4628175853617,10.4837459510175,10.4967511954725,10.2360743625377,10.3353001903735,10.4864142969948,10.4424680234195,10.4515833871359,FALSE
