Quarter,rf,actual
2010Q1,9.7892403549339,9.964582651895938
2010Q2,9.898912874024255,10.123827176517604
2010Q3,9.858551634669709,10.01681623784313
2010Q4,9.98289574437661,9.697078200213083
2011Q1,9.960768218163757,9.957975737820197
2011Q2,9.981741365325822,10.060063859578225
2011Q3,10.005886831382197,10.071541137532378
2011Q4,10.029947165124023,9.884304733119354
2012Q1,9.967910659033071,9.934501606065297
2012Q2,9.922614329006098,9.894446807883979
2012Q3,9.910687695075334,10.009198006958242
2012Q4,9.964664169743084,9.774517171239168
2013Q1,9.907714792606946,10.014581600041716
2013Q2,9.979672630459168,10.181876578076317
2013Q3,10.157858596365164,10.253087527802897
2013Q4,10.170994456802484,9.984145455553582
2014Q1,9.773959300655795,10.337540117496205
2014Q2,10.263340967314596,10.314603332153107
2014Q3,10.31956959446484,10.282608685304691
2014Q4,10.176033532523585,9.97720259035841
2015Q1,9.942588534014098,10.423173804734315
2015Q2,10.289278568366075,10.323841273138044
2015Q3,10.302925677472189,10.335594591590713
2015Q4,10.14750617139916,10.154246270883311
2016Q1,10.366351262906221,10.325481962595504
2016Q2,10.329239744225832,10.41900216578825
2016Q3,10.318480127601648,10.487656570526328
2016Q4,10.209081685432807,10.25061708363133
2017Q1,10.336579618266553,10.461387583688047
2017Q2,10.416203296229737,10.483745951017456
2017Q3,10.48012200525213,10.434703865949853
2017Q4,10.338649473601764,10.329082031939459
2018Q1,10.453359391672501,10.462817585361734
2018Q2,10.452649680628445,10.455071168774287
2018Q3,10.453002049062212,10.581013352193116
2018Q4,10.442707343643299,10.278493453159584
2019Q1,10.424016237573452,10.370361288772935
2019Q2,10.443392871568802,10.368164520276139
2019Q3,10.460683483762036,10.473053671324719
2019Q4,10.336644512415354,10.084975428581505
2020Q1,10.088105765151232,10.241743910950843
2020Q2,10.295384169713403,9.514879561494386
2020Q3,9.990580245317087,10.356472176612268
2020Q4,10.116885440326916,10.288069449727868
2021Q1,10.306360823491946,10.522988192927775
2021Q2,10.169486341692922,10.537945736747394
2021Q3,10.410980737804726,10.559192437620203
2021Q4,10.372708848143843,10.267088456545594
2022Q1,10.332863697099196,10.482065278352938
2022Q2,10.482440272560206,10.755986151322503
2022Q3,10.643761634399354,10.471921488922431
2022Q4,10.305358089144633,10.121819546853116
2023Q1,10.118870899945348,10.269518591398885
2023Q2,10.31347968579808,10.890982043416615
2023Q3,10.550916511151593,9.77166897791528
2023Q4,9.751771834222795,9.457200449907708
2024Q1,9.690576710232211,9.746833742490752
2024Q2,9.715319557588844,9.835743900449609
2024Q3,9.69385267573173,9.973013615184739
2024Q4,9.94002275122922,9.840547752762253
2025Q1,9.879689282813722,9.996977895623466
2025Q2,9.98883973077356,10.058780436942163
2025Q3,9.809118470741357,10.038018445493734
2025Q4,9.858777236121897,10.141716741268379
