"date","coef","beta","lo90","lo68","hi68","hi90"
"1976-01-01","(Intercept)",12.601878819509,7.05750829663809,9.29633193565854,15.9464761189212,16.1839639044528
"1976-04-01","(Intercept)",12.3129398697285,6.91481431521079,8.7663302829713,15.9464761189212,16.1839639044528
"1976-07-01","(Intercept)",12.3612410064649,6.89491560506961,8.78836179452517,15.9464761189212,16.1839639044528
"1976-10-01","(Intercept)",11.3695733839309,4.33712849214838,6.11231381401261,15.5211593102841,16.1839639044528
"1977-01-01","(Intercept)",12.9078096816513,6.80642060175941,9.88451434446427,16.1632056386525,16.1839639044528
"1977-04-01","(Intercept)",12.3757605805233,6.547793740949,8.84920036180525,16.1305348142094,16.1839639044528
"1977-07-01","(Intercept)",12.1819961025335,6.1278592008085,8.42975419892611,16.1248801261969,16.1839639044528
"1977-10-01","(Intercept)",11.2616794931248,4.33481003195555,6.00821170246586,15.5599494498998,16.1839639044528
"1978-01-01","(Intercept)",12.5610429294974,7.55398189873998,9.07190178419879,16.0871114399372,16.1839639044528
"1978-04-01","(Intercept)",12.0673394848453,6.12203881561313,8.09727732123429,15.9464761189212,16.1839639044528
"1978-07-01","(Intercept)",12.0975396738468,5.79597530836889,7.93841761301113,15.8197351150838,16.1839639044528
"1978-10-01","(Intercept)",11.0337989000419,4.45322692782812,5.98451268387345,15.1186045693813,16.1839639044528
"1979-01-01","(Intercept)",11.9200803641425,5.55793034921006,8.47241066126612,15.8746649596468,16.1839639044528
"1979-04-01","(Intercept)",9.997369282863,5.55818801601779,6.37598448284277,13.1046638453741,15.6618873485032
"1979-07-01","(Intercept)",9.37424421944372,4.72886279068276,6.49016081107229,12.5965605679553,15.0043164692434
"1979-10-01","(Intercept)",8.910252220807,4.6277593994959,5.94852598818515,12.9638263328306,14.5089144857608
"1980-01-01","(Intercept)",9.85398939894767,4.52336509589123,6.4144413783161,14.1256874807943,15.7864154322889
"1980-04-01","(Intercept)",9.18322430999712,5.55947635005642,6.2605974604361,12.1064955256996,14.6791268580208
"1980-07-01","(Intercept)",9.18370567584092,5.63112518482895,6.33575218422094,12.0389288292559,14.2745170462359
"1980-10-01","(Intercept)",9.20294019760601,4.73813355731957,5.95596100475089,13.0610337722954,14.4565756548729
"1981-01-01","(Intercept)",11.0589236534064,5.14339656994641,7.90804878369178,14.3786935623162,15.7175347504225
"1981-04-01","(Intercept)",10.2788739517254,5.70638135490965,7.32902760866906,13.03630972941,15.571868183985
"1981-07-01","(Intercept)",10.5638453975307,5.31917114537181,7.19602012609505,14.1676530683557,15.1570480560008
"1981-10-01","(Intercept)",10.1752449755088,4.93277241478005,6.52139418189217,14.0533689027671,14.6744791525871
"1982-01-01","(Intercept)",9.68755995067391,5.12131487009168,6.53889184239119,12.4397744956518,14.6719072908644
"1982-04-01","(Intercept)",9.61621219812928,5.49915119745386,6.53395569222876,12.2627595955565,13.8579792697217
"1982-07-01","(Intercept)",9.14643200469871,5.30686511656868,6.46344597085846,11.4793785423633,13.3622494759231
"1982-10-01","(Intercept)",8.31200053199607,4.30351957283356,5.14785635343478,11.0708136032816,13.9847297961474
"1983-01-01","(Intercept)",8.74083056152399,4.21651634099577,5.12594193629333,12.1706247223875,14.2644249554373
"1983-04-01","(Intercept)",8.25612457066909,5.03270433182461,5.67958612054975,10.2940922313614,12.2892066645137
"1983-07-01","(Intercept)",7.96867391994483,4.91105666716105,5.50199786199673,10.2547454827881,11.8602706856321
"1983-10-01","(Intercept)",7.23006133436035,3.90767238041354,4.87320876618393,9.5782779154074,11.5839102155304
"1984-01-01","(Intercept)",7.70000218315748,4.3770120011091,5.16154458621716,10.3306415335435,12.4979183474895
"1984-04-01","(Intercept)",7.3119791324459,4.31757497035974,5.13963844700674,9.51980098696283,12.428672367177
"1984-07-01","(Intercept)",6.84778974538186,4.32007605807603,5.09812809944721,9.08163410539363,10.2516421728175
"1984-10-01","(Intercept)",7.0025913027939,4.32757932122489,4.86265704753275,9.63426551418668,10.4206170706692
"1985-01-01","(Intercept)",8.11249391763049,4.61076126825213,5.11794047975815,11.5515156198673,13.2053126110881
"1985-04-01","(Intercept)",7.5640342637436,4.46889831734912,5.20799657902391,9.62225664796643,12.0546933565315
"1985-07-01","(Intercept)",7.00752825101218,4.6091060407374,5.20540831041621,9.14714450767948,10.871420267029
"1985-10-01","(Intercept)",7.89130311146291,4.68652655099777,5.29279927841706,10.1839370790696,12.4317210170732
"1986-01-01","(Intercept)",8.78511373073574,4.74128697836139,5.38292141188069,11.9760643923798,13.2677501239597
"1986-04-01","(Intercept)",7.32298808222394,4.30443135635882,5.22560159490365,9.2713063157376,12.1664225700622
"1986-07-01","(Intercept)",6.87299455611411,4.46889831734912,5.19143900402219,9.02874051478308,9.7700701708151
"1986-10-01","(Intercept)",7.02437235099562,4.38821553272684,5.04924134596796,9.25101318358258,11.2558281945573
"1987-01-01","(Intercept)",8.6232025640658,4.61558349282094,5.37153517033562,11.7982746918635,13.247947651411
"1987-04-01","(Intercept)",6.4395742721148,2.80648273020262,4.60426616106499,8.29793791376304,10.0939851300671
"1987-07-01","(Intercept)",6.03551669956886,2.76084037059271,4.44516962509622,7.94035861578176,9.26329129849064
"1987-10-01","(Intercept)",6.91434748269263,3.9547068527881,4.90639820193793,8.98898241755027,10.4774064767612
"1988-01-01","(Intercept)",6.28268315174836,1.28129018314054,4.0749188828948,8.91183828434854,11.2784131183323
"1988-04-01","(Intercept)",6.54381040649105,1.26333335261395,3.39711936649384,9.08527137916468,14.48137722675
"1988-07-01","(Intercept)",6.28136548425269,0.548487953597212,3.39669682576493,8.92168982159592,11.6795849621011
"1988-10-01","(Intercept)",7.03862416690504,1.78852656024119,4.79990547372208,9.21727427380197,11.6795849621011
"1989-01-01","(Intercept)",6.45107100889347,0.330070466302485,2.77920041729044,8.98849205264223,12.5597267785806
"1989-04-01","(Intercept)",6.65936999497118,0.326743193690011,2.68172155863561,9.73493511429575,14.1536874567385
"1989-07-01","(Intercept)",6.84280443242183,0.325079557383774,2.78529284595636,10.4776196275326,12.6353901920809
"1989-10-01","(Intercept)",7.2783364620095,1.43560347869588,4.85749181512919,9.6920619888967,11.5822051980856
"1990-01-01","(Intercept)",7.28997412997371,1.30833382190467,3.73481954224332,10.0363338679331,12.3661418963703
"1990-04-01","(Intercept)",7.24227881568784,0.575361758890063,3.21991092489187,10.4978040170266,12.529866804473
"1990-07-01","(Intercept)",7.67401229432817,0.575361758890063,4.04661031535003,10.7945233204093,12.8638322730342
"1990-10-01","(Intercept)",9.1864361749348,4.0217737267429,6.65383849269085,12.8892222625156,13.8231975691989
"1991-01-01","(Intercept)",8.59907486448231,2.00830131616385,5.6062982500869,11.7391567769183,13.4191754015355
"1991-04-01","(Intercept)",8.76602063182982,2.26304758435433,6.09310207220701,12.1554238477723,14.1031556525273
"1991-07-01","(Intercept)",8.57028359293638,2.32673415140195,5.45417205567436,11.4705152608937,13.1183186889148
"1991-10-01","(Intercept)",9.13653787358639,5.00233563416598,6.43272781572164,12.645040036243,14.280448995846
"1992-01-01","(Intercept)",9.57959469963824,4.52543916652588,7.5088302019898,12.6275997981102,14.242056886199
"1992-04-01","(Intercept)",8.47914574550561,2.28563327642047,6.21480302773704,11.0332920929808,13.0238860718554
"1992-07-01","(Intercept)",9.06212937891477,2.67991211113597,6.26352002768623,11.7495231332153,14.6201350615119
"1992-10-01","(Intercept)",9.30225876178195,4.80523064015377,6.62691943833819,13.0089747260497,15.1335861348448
"1993-01-01","(Intercept)",9.57477251656452,4.9140548420239,7.22910571011635,12.4291681338105,15.4734173327921
"1993-04-01","(Intercept)",9.25343187162678,3.94938338678503,6.77172961196948,10.8456663868553,13.5878464855937
"1993-07-01","(Intercept)",9.94635128011412,5.71640247156414,7.64477671728014,11.8951574561086,14.486036772025
"1993-10-01","(Intercept)",9.22048972884017,5.53442053456539,6.97527502568582,11.3062174032125,13.1824243164024
"1994-01-01","(Intercept)",9.48128813632932,5.23611760969996,7.94935936351286,10.8139272695288,12.9185522524431
"1994-04-01","(Intercept)",9.3991439940943,4.41379701988544,7.20890035622359,10.8557704651383,13.0838672067882
"1994-07-01","(Intercept)",9.24795781933357,5.81036746471579,7.34425132610309,10.7830801906039,12.4553580805559
"1994-10-01","(Intercept)",9.00558975849627,5.53756513939314,7.17708242263159,10.7065398897296,12.3461159498079
"1995-01-01","(Intercept)",9.26476083113926,5.85761347732494,7.22301836404535,11.0116153465771,12.8366352120075
"1995-04-01","(Intercept)",8.57181126890067,3.14546041333812,6.80758288181187,10.4617386721865,10.8967461061551
"1995-07-01","(Intercept)",8.83449952563415,4.37994480346929,7.02721761966882,10.6978561715973,11.03864021928
"1995-10-01","(Intercept)",8.91409062851892,5.17299960618425,7.34492348874876,10.4529255321133,13.4191672947554
"1996-01-01","(Intercept)",10.0818787517948,7.26621438711633,8.63008933810556,12.1541446770864,13.791292404722
"1996-04-01","(Intercept)",9.67429982745019,6.80247013472142,7.89355678518246,10.9256984647058,13.1029343646331
"1996-07-01","(Intercept)",9.64959934864791,6.82485421798996,8.3915664532914,10.8895459892394,11.7344401859482
"1996-10-01","(Intercept)",9.68814656154322,7.09459572093473,7.77466171442479,11.4928488605149,13.771398645479
"1997-01-01","(Intercept)",9.70327046779822,7.01440798236358,8.63939279948595,10.8183931885644,11.1743910741453
"1997-04-01","(Intercept)",9.47240364795984,7.26526323929274,8.33572658171439,10.7818679026646,11.3125262132593
"1997-07-01","(Intercept)",9.36094446249402,7.26621438711633,8.09549730324943,10.7283058620011,11.6661952802438
"1997-10-01","(Intercept)",8.71187706761583,6.72555924523878,7.6239136830085,9.72360709883514,11.2577950240531
"1998-01-01","(Intercept)",8.9982026218411,6.66940911834462,7.82401957783811,10.3988920104904,11.2243134087206
"1998-04-01","(Intercept)",9.03000096410502,7.16942376594181,7.88281218513131,10.3028277144138,11.0807264494029
"1998-07-01","(Intercept)",9.26567692829886,7.23801299912635,8.0936642844754,10.5405583149533,11.6440661039141
"1998-10-01","(Intercept)",8.57160342172195,6.71979669683424,7.34332300675826,9.77330962758266,10.4564325454731
"1999-01-01","(Intercept)",9.2742110543611,7.35268454239675,8.04104481316295,10.3153300830329,12.0316503281159
"1999-04-01","(Intercept)",9.23521148543017,7.92474347415232,8.31471481935994,10.2380032565835,11.2232116701418
"1999-07-01","(Intercept)",9.23370626177138,7.84964262958646,8.1750492173307,10.2860432858999,11.0947158684302
"1999-10-01","(Intercept)",8.54384614224555,6.59962602055823,7.34034375768805,9.85840053675203,10.6411627677604
"2000-01-01","(Intercept)",9.05000070806141,7.8550237850494,8.15626777405209,10.1249757033396,11.059742320862
"2000-04-01","(Intercept)",8.84486133249769,7.89843387175474,8.15741392400822,9.66011569124734,10.3693206271472
"2000-07-01","(Intercept)",8.84845935062204,7.86565834238749,8.14428982712537,9.73219354650467,10.2509851144135
"2000-10-01","(Intercept)",8.35722326022419,6.3101778080365,7.22687325655421,9.25336923763005,11.3220827104282
"2001-01-01","(Intercept)",8.85628457990504,7.69931423227765,7.94067049390763,9.74703128546681,10.7876519770312
"2001-04-01","(Intercept)",8.80896117577772,7.92889557016067,8.17163013874888,9.41081575983395,10.1637046954741
"2001-07-01","(Intercept)",8.81935232149306,7.93378739638009,8.21245836849793,9.39804319608782,10.4797995374499
"2001-10-01","(Intercept)",8.96887372607847,6.48467654500389,7.4447422938219,11.2079272970189,12.4544195186736
"2002-01-01","(Intercept)",8.83031149499793,7.93052617890047,8.19887157481395,9.62925932721347,10.1794873474095
"2002-04-01","(Intercept)",8.67376800905433,7.61493684222944,7.9827775293611,9.29855805595899,9.87306020269522
"2002-07-01","(Intercept)",8.70031474261854,7.59736865693554,8.0638563610077,9.40714800833357,9.96583387476846
"2002-10-01","(Intercept)",8.57818294847051,6.60857218000451,7.37027417305631,9.64883319206271,11.2288946219938
"2003-01-01","(Intercept)",8.64724941183159,7.27747078622297,7.95028638941195,9.42897675999823,9.87852585501741
"2003-04-01","(Intercept)",8.50497144653307,7.30204325485992,7.94971494165997,9.29916634746982,10.1528981103364
"2003-07-01","(Intercept)",8.42591496750638,7.3394546921561,7.97030536570032,8.94472496971841,9.7959029507665
"2003-10-01","(Intercept)",8.76107184983885,6.70514135348297,7.57332798786055,10.2769853175856,11.3590029113616
"2004-01-01","(Intercept)",8.18090959828413,5.21043315007141,7.6910463216465,9.03076132318945,10.8122388621442
"2004-04-01","(Intercept)",7.80648288071316,2.38123632426032,7.2343197825733,9.02359159188689,10.3677171976539
"2004-07-01","(Intercept)",8.19645263419433,4.24623155467138,7.91332201637962,9.42809564521256,10.4018219711639
"2004-10-01","(Intercept)",7.58773384297308,-4.86292306241909,7.61138852987936,10.0312373432473,10.4154638805679
