"period","lrprc","lvol","r3","lstock","lrcc"
"2026Q1",7.97640446076563,12.1819332977656,4.92481730704016,16.8938554911585,0.679459680838974
"2026Q2",7.97664232631782,12.2142367149287,4.92467499690594,16.8951162735168,0.703149787429202
"2026Q3",7.9797939413112,12.3327342677821,5.48239477612604,16.8962769429666,0.695334507965789
"2026Q4",7.96182707326173,12.1763144374497,5.4219945073326,16.897717688489,0.694204682355513
"2027Q1",7.94810893057609,12.08362497352,5.44114868531125,16.8990617738505,0.673961926625215
"2027Q2",7.95347806191809,12.1885128559719,5.0175448573525,16.9005405950385,0.695915591560235
"2027Q3",7.9652039229484,12.3573377160266,5.01365377156894,16.9021191393719,0.689751729981871
"2027Q4",7.95903110051968,12.3015662083148,4.96394527961649,16.9039163838906,0.692416727124153
"2028Q1",7.95239511344901,12.1712112341516,4.9759352389204,16.9056203276941,0.675131356527918
"2028Q2",7.96668656586265,12.2687668120041,4.76812247062276,16.9074782327847,0.696903789572472
"2028Q3",7.98461169381741,12.4009385889954,4.9110688064514,16.9094357578783,0.693622933018517
"2028Q4",7.98312367725782,12.3509031800809,4.99471844486325,16.9116432930523,0.697438479286596
"2029Q1",7.97885435609059,12.2052907915998,5.03271113706704,16.9137392219223,0.685317290087042
"2029Q2",7.99461737685875,12.3083615975495,4.83434436646788,16.9159895104975,0.706497409452612
"2029Q3",8.01359912875431,12.4304785961377,4.95285839493902,16.9183004247636,0.705035491184085
"2029Q4",8.01301820617346,12.3835746574896,5.01968690411313,16.9208511299046,0.708274161914366
"2030Q1",8.00954198901902,12.2285406231748,5.04799884017312,16.923237120412,0.699286214887506
"2030Q2",8.02582598196306,12.3349564651859,4.85819068913148,16.9257580480235,0.719361377117558
"2030Q3",8.04528829408277,12.4521353378518,4.98456306381665,16.9282986802797,0.718959246357156
"2030Q4",8.04487324057228,12.4065157482298,5.04888887263047,16.9310688094606,0.721601955291729
"2031Q1",8.04149046466174,12.2438395116369,5.07107721639348,16.9336360552525,0.714754613669569
