"period","ardl_log","ardl_starts","nardl_log","nardl_starts"
"2026Q1",10.0079899362076,22203.1608023023,10.0062589778069,22164.7612981501
"2026Q2",10.0400894675446,22927.4340860882,10.0349970684158,22810.975219909
"2026Q3",9.95503333133978,21057.9477114311,9.91156038555267,20162.1101239105
"2026Q4",9.81089424820178,18231.2830821964,9.76776442708615,17461.6866771754
"2027Q1",9.93989008546986,20741.4643721492,9.86432755444497,19231.9368635639
"2027Q2",9.97971576117932,21584.1766168054,9.89674808071085,19865.6637496493
"2027Q3",9.93715188545582,20684.7477802377,9.81158355558514,18243.854372477
"2027Q4",9.75287551717797,17203.6270776536,9.66322990604671,15728.5043053257
"2028Q1",9.91286027889977,20188.335758295,9.84233631223589,18813.6192029246
"2028Q2",9.96147264340084,21193.9839278766,9.88087043108939,19552.7345651948
"2028Q3",9.93298526335391,20598.741555111,9.85330285267143,19021.074975577
"2028Q4",9.747687464888,17114.6048863652,9.68440592304959,16065.1229218118
"2029Q1",9.90888897831065,20108.3207955004,9.86913908129862,19324.6948189757
"2029Q2",9.96413120185235,21250.4043382173,9.89651935220281,19861.1204256323
"2029Q3",9.936388584371,20668.9651140471,9.88329122483091,19600.1250407999
"2029Q4",9.75584738147112,17254.8299690154,9.70638498455915,16422.1281954016
"2030Q1",9.91999965236697,20332.9835598943,9.88772954298144,19687.3099656194
"2030Q2",9.98036555972807,21598.2065412656,9.9214763535408,20363.0314810244
"2030Q3",9.95345020485748,21024.6366914824,9.90252401383232,19980.738507011
"2030Q4",9.76957895991612,17493.4002448711,9.72435319864488,16719.8714572376
"2031Q1",9.93090627883794,20555.9615752358,9.90109493147767,19952.2047795571
